group	kind	family_count	n
all	all	3	19
all	all	4	122
all	all	5	356
all	all	6	636
all	all	7	793
all	all	8	868
all	all	9	713
all	all	10	530
all	all	11	368
all	all	12	244
all	all	13	136
all	all	14	100
all	all	15	45
all	all	16	33
all	all	17	15
all	all	18	12
all	all	19	4
all	all	20	3
all	all	21	1
all	all	22	2
morphosyntactic	class	1	107
morphosyntactic	class	2	2976
morphosyntactic	class	3	1770
morphosyntactic	class	4	147
phonological	class	1	5000
indeterminate	class	1	22
indeterminate	class	2	633
indeterminate	class	3	2078
indeterminate	class	4	1222
indeterminate	class	5	762
indeterminate	class	6	255
indeterminate	class	7	11
indeterminate	class	8	15
indeterminate	class	9	2
morsyn_indet	bundle	3	12
morsyn_indet	bundle	4	119
morsyn_indet	bundle	5	371
morsyn_indet	bundle	6	601
morsyn_indet	bundle	7	818
morsyn_indet	bundle	8	822
morsyn_indet	bundle	9	742
morsyn_indet	bundle	10	550
morsyn_indet	bundle	11	363
morsyn_indet	bundle	12	272
morsyn_indet	bundle	13	123
morsyn_indet	bundle	14	95
morsyn_indet	bundle	15	35
morsyn_indet	bundle	16	38
morsyn_indet	bundle	17	17
morsyn_indet	bundle	18	12
morsyn_indet	bundle	19	4
morsyn_indet	bundle	20	2
morsyn_indet	bundle	21	2
morsyn_indet	bundle	22	1
morsyn_indet	bundle	26	1
