group	kind	family_count	n
all	all	2	1
all	all	3	24
all	all	4	109
all	all	5	212
all	all	6	389
all	all	7	568
all	all	8	666
all	all	9	621
all	all	10	596
all	all	11	461
all	all	12	440
all	all	13	216
all	all	14	258
all	all	15	115
all	all	16	119
all	all	17	41
all	all	18	75
all	all	19	21
all	all	20	32
all	all	21	12
all	all	22	9
all	all	23	2
all	all	24	6
all	all	25	1
all	all	26	2
all	all	27	1
all	all	28	2
all	all	31	1
morphosyntactic	class	1	1669
morphosyntactic	class	2	3031
morphosyntactic	class	3	300
phonological	class	1	4
phonological	class	2	101
phonological	class	3	508
phonological	class	4	1110
phonological	class	5	1107
phonological	class	6	941
phonological	class	7	564
phonological	class	8	396
phonological	class	9	124
phonological	class	10	106
phonological	class	11	15
phonological	class	12	20
phonological	class	13	4
indeterminate	class	1	1653
indeterminate	class	2	3065
indeterminate	class	3	282
morsyn_indet	bundle	1	57
morsyn_indet	bundle	2	850
morsyn_indet	bundle	3	1830
morsyn_indet	bundle	4	1387
morsyn_indet	bundle	5	573
morsyn_indet	bundle	6	262
morsyn_indet	bundle	7	22
morsyn_indet	bundle	8	18
morsyn_indet	bundle	9	1
