family_id	span_id
family_001	1-39
family_001	23-36
family_001	25-36
family_001	26-36
family_001	29-30
family_001	29-31
family_001	29-33
family_001	29-34
family_001	29-36
family_002	1-39
family_002	23-36
family_002	25-36
family_002	26-36
family_002	29-33
family_002	29-34
family_002	29-36
family_002	30-33
family_003	1-39
family_003	23-36
family_003	25-33
family_003	25-36
family_003	29-30
family_003	29-31
family_003	29-33
family_004	1-39
family_004	23-36
family_004	25-30
family_004	25-33
family_004	25-36
family_004	29-30
family_005	1-39
family_005	23-36
family_005	25-33
family_005	25-36
family_005	29-33
family_005	30-33
