group	kind	family_count	n
morphosyntactic	class	1	2827
morphosyntactic	class	2	2065
morphosyntactic	class	3	88
morphosyntactic	class	4	20
phonological	class	1	545
phonological	class	2	2159
phonological	class	3	1376
phonological	class	4	576
phonological	class	5	344
indeterminate	class	1	2856
indeterminate	class	2	2021
indeterminate	class	3	98
indeterminate	class	4	25
morsyn_indet	bundle	1	777
morsyn_indet	bundle	2	2448
morsyn_indet	bundle	3	1122
morsyn_indet	bundle	4	457
morsyn_indet	bundle	5	196
