group	kind	family_count	n
all	all	2	9
all	all	3	87
all	all	4	226
all	all	5	338
all	all	6	624
all	all	7	487
all	all	8	735
all	all	9	480
all	all	10	596
all	all	11	213
all	all	12	486
all	all	13	107
all	all	14	208
all	all	15	97
all	all	16	130
all	all	17	23
all	all	18	62
all	all	19	10
all	all	20	40
all	all	21	14
all	all	22	9
all	all	23	1
all	all	24	11
all	all	25	3
all	all	26	1
all	all	27	1
all	all	28	1
all	all	32	1
morphosyntactic	class	1	1960
morphosyntactic	class	2	2958
morphosyntactic	class	3	82
phonological	class	1	15
phonological	class	2	499
phonological	class	3	1116
phonological	class	4	1301
phonological	class	5	573
phonological	class	6	989
phonological	class	7	78
phonological	class	8	295
phonological	class	9	35
phonological	class	10	67
phonological	class	12	29
phonological	class	13	2
phonological	class	16	1
indeterminate	class	1	1869
indeterminate	class	2	2985
indeterminate	class	3	146
morsyn_indet	bundle	1	45
morsyn_indet	bundle	2	847
morsyn_indet	bundle	3	1504
morsyn_indet	bundle	4	1524
morsyn_indet	bundle	5	557
morsyn_indet	bundle	6	458
morsyn_indet	bundle	7	14
morsyn_indet	bundle	8	43
morsyn_indet	bundle	9	8
