group	kind	family_count	n
all	all	1	71
all	all	2	1016
all	all	3	1569
all	all	4	1143
all	all	5	323
all	all	6	665
all	all	7	28
all	all	8	128
all	all	9	9
all	all	10	39
all	all	11	1
all	all	12	8
morphosyntactic	class	1	209
morphosyntactic	class	2	2155
morphosyntactic	class	3	1986
morphosyntactic	class	4	458
morphosyntactic	class	5	94
morphosyntactic	class	6	98
phonological	class	1	5000
indeterminate	class	1	3653
indeterminate	class	2	1347
morsyn_indet	bundle	1	62
morsyn_indet	bundle	2	1004
morsyn_indet	bundle	3	1486
morsyn_indet	bundle	4	1171
morsyn_indet	bundle	5	325
morsyn_indet	bundle	6	731
morsyn_indet	bundle	7	39
morsyn_indet	bundle	8	132
morsyn_indet	bundle	9	3
morsyn_indet	bundle	10	33
morsyn_indet	bundle	12	14
