group	kind	family_count	n
all	all	2	2
all	all	3	20
all	all	4	72
all	all	5	244
all	all	6	455
all	all	7	582
all	all	8	633
all	all	9	707
all	all	10	586
all	all	11	444
all	all	12	425
all	all	13	244
all	all	14	248
all	all	15	103
all	all	16	98
all	all	17	40
all	all	18	45
all	all	19	20
all	all	20	16
all	all	21	4
all	all	22	6
all	all	23	1
all	all	24	4
all	all	30	1
morphosyntactic	class	1	170
morphosyntactic	class	2	1857
morphosyntactic	class	3	2013
morphosyntactic	class	4	813
morphosyntactic	class	5	132
morphosyntactic	class	6	15
phonological	class	1	42
phonological	class	2	811
phonological	class	3	1894
phonological	class	4	1432
phonological	class	5	581
phonological	class	6	200
phonological	class	7	22
phonological	class	8	17
phonological	class	9	1
indeterminate	class	1	624
indeterminate	class	2	2965
indeterminate	class	3	1211
indeterminate	class	4	200
morsyn_indet	bundle	1	2
morsyn_indet	bundle	2	81
morsyn_indet	bundle	3	545
morsyn_indet	bundle	4	1074
morsyn_indet	bundle	5	1197
morsyn_indet	bundle	6	1006
morsyn_indet	bundle	7	549
morsyn_indet	bundle	8	338
morsyn_indet	bundle	9	113
morsyn_indet	bundle	10	68
morsyn_indet	bundle	11	4
morsyn_indet	bundle	12	21
morsyn_indet	bundle	14	2
