family_id	span_id
family_001	1-20
family_001	3-18
family_001	4-15
family_001	4-18
family_001	6-7
family_001	6-11
family_001	6-14
family_001	6-15
family_002	1-20
family_002	3-18
family_002	4-15
family_002	4-18
family_002	6-11
family_002	6-14
family_002	6-15
family_002	7-11
family_003	1-20
family_003	3-18
family_003	4-18
family_003	6-7
family_003	6-11
family_003	6-14
family_003	6-15
family_003	6-18
family_004	1-20
family_004	3-18
family_004	4-18
family_004	6-11
family_004	6-14
family_004	6-15
family_004	6-18
family_004	7-11
family_005	1-20
family_005	6-7
family_005	6-11
family_005	6-14
family_005	6-15
family_005	6-18
family_005	6-19
family_006	1-20
family_006	6-11
family_006	6-14
family_006	6-15
family_006	6-18
family_006	6-19
family_006	7-11
family_007	1-20
family_007	3-18
family_007	4-7
family_007	4-15
family_007	4-18
family_007	6-7
