group	kind	family_count	n
morphosyntactic	class	1	378
morphosyntactic	class	2	2148
morphosyntactic	class	3	934
morphosyntactic	class	4	1241
morphosyntactic	class	5	250
morphosyntactic	class	6	49
phonological	class	1	109
phonological	class	2	1300
phonological	class	3	966
phonological	class	4	1655
phonological	class	5	739
phonological	class	6	197
phonological	class	7	34
indeterminate	class	1	683
indeterminate	class	2	2706
indeterminate	class	3	676
indeterminate	class	4	861
indeterminate	class	5	63
indeterminate	class	6	11
morsyn_indet	bundle	1	4
morsyn_indet	bundle	2	187
morsyn_indet	bundle	3	455
morsyn_indet	bundle	4	1283
morsyn_indet	bundle	5	1810
morsyn_indet	bundle	6	616
morsyn_indet	bundle	7	645
