group	kind	family_count	n
all	all	3	11
all	all	4	98
all	all	5	262
all	all	6	532
all	all	7	733
all	all	8	830
all	all	9	822
all	all	10	604
all	all	11	439
all	all	12	291
all	all	13	161
all	all	14	102
all	all	15	54
all	all	16	31
all	all	17	12
all	all	18	7
all	all	19	6
all	all	20	4
all	all	22	1
morphosyntactic	class	1	87
morphosyntactic	class	2	1529
morphosyntactic	class	3	2590
morphosyntactic	class	4	746
morphosyntactic	class	5	48
phonological	class	1	24
phonological	class	2	889
phonological	class	3	1980
phonological	class	4	1340
phonological	class	5	582
phonological	class	6	163
phonological	class	7	1
phonological	class	8	21
indeterminate	class	1	602
indeterminate	class	2	3220
indeterminate	class	3	1119
indeterminate	class	4	59
morsyn_indet	bundle	1	1
morsyn_indet	bundle	2	106
morsyn_indet	bundle	3	783
morsyn_indet	bundle	4	1688
morsyn_indet	bundle	5	1309
morsyn_indet	bundle	6	684
morsyn_indet	bundle	7	307
morsyn_indet	bundle	8	84
morsyn_indet	bundle	9	26
morsyn_indet	bundle	10	9
morsyn_indet	bundle	11	3
