group	kind	family_count	n
all	all	24	1
all	all	26	1
all	all	28	2
all	all	29	5
all	all	30	4
all	all	31	2
all	all	32	1
all	all	33	7
all	all	34	2
all	all	35	8
all	all	36	6
all	all	37	9
all	all	38	8
all	all	39	18
all	all	40	19
all	all	41	17
all	all	42	20
all	all	43	22
all	all	44	16
all	all	45	20
all	all	46	27
all	all	47	34
all	all	48	37
all	all	49	30
all	all	50	36
all	all	51	42
all	all	52	49
all	all	53	51
all	all	54	56
all	all	55	42
all	all	56	58
all	all	57	44
all	all	58	55
all	all	59	66
all	all	60	46
all	all	61	63
all	all	62	57
all	all	63	59
all	all	64	63
all	all	65	49
all	all	66	69
all	all	67	66
all	all	68	69
all	all	69	77
all	all	70	63
all	all	71	70
all	all	72	76
all	all	73	73
all	all	74	59
all	all	75	75
all	all	76	76
all	all	77	70
all	all	78	89
all	all	79	66
all	all	80	62
all	all	81	48
all	all	82	71
all	all	83	69
all	all	84	65
all	all	85	61
all	all	86	58
all	all	87	67
all	all	88	67
all	all	89	49
all	all	90	71
all	all	91	59
all	all	92	67
all	all	93	48
all	all	94	54
all	all	95	41
all	all	96	48
all	all	97	41
all	all	98	57
all	all	99	66
all	all	100	56
all	all	101	40
all	all	102	54
all	all	103	43
all	all	104	51
all	all	105	48
all	all	106	50
all	all	107	33
all	all	108	52
all	all	109	51
all	all	110	46
all	all	111	39
all	all	112	29
all	all	113	35
all	all	114	40
all	all	115	27
all	all	116	34
all	all	117	33
all	all	118	28
all	all	119	36
all	all	120	28
all	all	121	29
all	all	122	31
all	all	123	32
all	all	124	25
all	all	125	22
all	all	126	27
all	all	127	29
all	all	128	27
all	all	129	15
all	all	130	22
all	all	131	13
all	all	132	21
all	all	133	15
all	all	134	20
all	all	135	9
all	all	136	17
all	all	137	22
all	all	138	18
all	all	139	15
all	all	140	20
all	all	141	8
all	all	142	15
all	all	143	15
all	all	144	17
all	all	145	13
all	all	146	16
all	all	147	10
all	all	148	8
all	all	149	10
all	all	150	8
all	all	151	9
all	all	152	8
all	all	153	13
all	all	154	6
all	all	155	7
all	all	156	19
all	all	157	4
all	all	158	9
all	all	159	9
all	all	160	4
all	all	161	6
all	all	162	6
all	all	163	6
all	all	164	6
all	all	165	8
all	all	166	5
all	all	167	3
all	all	168	5
all	all	169	4
all	all	170	4
all	all	171	3
all	all	172	6
all	all	173	4
all	all	174	6
all	all	175	3
all	all	176	7
all	all	177	2
all	all	178	2
all	all	179	3
all	all	180	4
all	all	181	3
all	all	182	4
all	all	183	3
all	all	184	1
all	all	185	4
all	all	186	2
all	all	187	1
all	all	188	5
all	all	189	5
all	all	190	2
all	all	191	2
all	all	192	5
all	all	193	4
all	all	194	1
all	all	196	1
all	all	197	3
all	all	198	1
all	all	200	2
all	all	201	2
all	all	202	4
all	all	203	1
all	all	204	2
all	all	207	1
all	all	208	1
all	all	210	4
all	all	212	2
all	all	213	2
all	all	214	1
all	all	215	1
all	all	218	2
all	all	220	1
all	all	221	1
all	all	222	1
all	all	223	1
all	all	229	1
all	all	230	1
all	all	232	1
all	all	235	1
all	all	236	1
all	all	237	1
all	all	238	1
all	all	241	2
all	all	242	1
all	all	243	1
all	all	251	1
all	all	252	2
all	all	254	1
all	all	258	1
all	all	262	1
all	all	265	1
all	all	268	1
all	all	276	2
all	all	322	1
morphosyntactic	class	2	17
morphosyntactic	class	3	205
morphosyntactic	class	4	593
morphosyntactic	class	5	948
morphosyntactic	class	6	937
morphosyntactic	class	7	818
morphosyntactic	class	8	647
morphosyntactic	class	9	355
morphosyntactic	class	10	266
morphosyntactic	class	11	76
morphosyntactic	class	12	91
morphosyntactic	class	13	12
morphosyntactic	class	14	21
morphosyntactic	class	15	3
morphosyntactic	class	16	9
morphosyntactic	class	18	2
phonological	class	2	2
phonological	class	3	18
phonological	class	4	73
phonological	class	5	226
phonological	class	6	441
phonological	class	7	577
phonological	class	8	694
phonological	class	9	632
phonological	class	10	691
phonological	class	11	450
phonological	class	12	420
phonological	class	13	236
phonological	class	14	211
phonological	class	15	108
phonological	class	16	82
phonological	class	17	37
phonological	class	18	46
phonological	class	19	13
phonological	class	20	23
phonological	class	21	7
phonological	class	22	9
phonological	class	23	1
phonological	class	26	1
phonological	class	28	2
tonosegmental	class	3	16
tonosegmental	class	4	80
tonosegmental	class	5	252
tonosegmental	class	6	426
tonosegmental	class	7	599
tonosegmental	class	8	678
tonosegmental	class	9	650
tonosegmental	class	10	593
tonosegmental	class	11	444
tonosegmental	class	12	437
tonosegmental	class	13	242
tonosegmental	class	14	233
tonosegmental	class	15	110
tonosegmental	class	16	93
tonosegmental	class	17	54
tonosegmental	class	18	42
tonosegmental	class	19	14
tonosegmental	class	20	14
tonosegmental	class	21	7
tonosegmental	class	22	8
tonosegmental	class	23	1
tonosegmental	class	24	2
tonosegmental	class	25	1
tonosegmental	class	26	2
tonosegmental	class	28	1
tonosegmental	class	30	1
intonational	class	1	3331
intonational	class	2	1669
length	class	1	47
length	class	2	851
length	class	3	1845
length	class	4	1407
length	class	5	578
length	class	6	224
length	class	7	32
length	class	8	16
phonologylike	bundle	3	2
phonologylike	bundle	4	20
phonologylike	bundle	5	87
phonologylike	bundle	6	180
phonologylike	bundle	7	317
phonologylike	bundle	8	452
phonologylike	bundle	9	523
phonologylike	bundle	10	616
phonologylike	bundle	11	510
phonologylike	bundle	12	511
phonologylike	bundle	13	379
phonologylike	bundle	14	376
phonologylike	bundle	15	259
phonologylike	bundle	16	245
phonologylike	bundle	17	149
phonologylike	bundle	18	121
phonologylike	bundle	19	75
phonologylike	bundle	20	58
phonologylike	bundle	21	30
phonologylike	bundle	22	39
phonologylike	bundle	23	11
phonologylike	bundle	24	16
phonologylike	bundle	25	6
phonologylike	bundle	26	6
phonologylike	bundle	27	2
phonologylike	bundle	28	3
phonologylike	bundle	29	3
phonologylike	bundle	30	2
phonologylike	bundle	32	2
syntaxlike	bundle	8	1
syntaxlike	bundle	11	1
syntaxlike	bundle	12	3
syntaxlike	bundle	13	8
syntaxlike	bundle	14	12
syntaxlike	bundle	15	11
syntaxlike	bundle	16	34
syntaxlike	bundle	17	39
syntaxlike	bundle	18	45
syntaxlike	bundle	19	57
syntaxlike	bundle	20	67
syntaxlike	bundle	21	116
syntaxlike	bundle	22	113
syntaxlike	bundle	23	122
syntaxlike	bundle	24	108
syntaxlike	bundle	25	132
syntaxlike	bundle	26	166
syntaxlike	bundle	27	148
syntaxlike	bundle	28	169
syntaxlike	bundle	29	156
syntaxlike	bundle	30	170
syntaxlike	bundle	31	158
syntaxlike	bundle	32	182
syntaxlike	bundle	33	178
syntaxlike	bundle	34	184
syntaxlike	bundle	35	165
syntaxlike	bundle	36	177
syntaxlike	bundle	37	145
syntaxlike	bundle	38	153
syntaxlike	bundle	39	136
syntaxlike	bundle	40	160
syntaxlike	bundle	41	130
syntaxlike	bundle	42	103
syntaxlike	bundle	43	106
syntaxlike	bundle	44	99
syntaxlike	bundle	45	103
syntaxlike	bundle	46	97
syntaxlike	bundle	47	73
syntaxlike	bundle	48	78
syntaxlike	bundle	49	63
syntaxlike	bundle	50	83
syntaxlike	bundle	51	63
syntaxlike	bundle	52	75
syntaxlike	bundle	53	48
syntaxlike	bundle	54	47
syntaxlike	bundle	55	42
syntaxlike	bundle	56	49
syntaxlike	bundle	57	38
syntaxlike	bundle	58	34
syntaxlike	bundle	59	27
syntaxlike	bundle	60	28
syntaxlike	bundle	61	21
syntaxlike	bundle	62	24
syntaxlike	bundle	63	25
syntaxlike	bundle	64	20
syntaxlike	bundle	65	20
syntaxlike	bundle	66	25
syntaxlike	bundle	67	14
syntaxlike	bundle	68	14
syntaxlike	bundle	69	7
syntaxlike	bundle	70	16
syntaxlike	bundle	71	14
syntaxlike	bundle	72	15
syntaxlike	bundle	73	4
