span_id_a	span_id_b
10-13	13-15
10-13	6-10
10-13	8-10
10-13	9-10
10-16	5-13
10-16	6-10
10-16	8-10
10-16	9-10
10-17	17-19
10-17	5-13
10-17	6-10
10-17	6-16
10-17	8-10
10-17	8-16
10-17	9-10
10-17	9-16
10-18	17-19
10-18	5-13
10-18	5-17
10-18	6-10
10-18	6-16
10-18	6-17
10-18	8-10
10-18	8-16
10-18	8-17
10-18	9-10
10-18	9-16
10-18	9-17
13-15	5-13
17-19	5-17
17-19	5-18
17-19	6-17
17-19	8-17
17-19	9-17
17-19	9-18
5-13	6-16
5-13	6-17
5-13	8-16
5-13	8-17
5-13	9-16
5-13	9-17
5-13	9-18
5-17	9-18
5-6	6-10
5-6	6-16
5-6	6-17
5-6	6-8
6-10	8-16
6-10	8-17
6-10	9-16
6-10	9-17
6-10	9-18
6-16	8-17
6-16	9-17
6-16	9-18
6-17	9-18
6-8	8-10
6-8	8-16
6-8	8-17
8-10	9-16
8-10	9-17
8-10	9-18
8-16	9-17
8-16	9-18
8-17	9-18
