family_id	family_number	n_spans	newick
family_001	1	13	(1,(2,(3,4,(((((5,6)5-6,7,(((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16,17)8-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_002	2	13	(1,(2,(3,4,(((((5,6)5-6,7,((8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16,17)8-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_003	3	13	(1,(2,(3,4,(((((5,6)5-6,7,((8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)8-16,17)8-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_004	4	13	(1,(2,(3,4,(((((5,6)5-6,7,((8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)8-16,17)8-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_005	5	13	(1,(2,(3,4,(((((5,6)5-6,7,(8,(((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17)8-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_006	6	13	(1,(2,(3,4,(((((5,6)5-6,7,(8,((9,((10,11,12,13)10-13,14,15,16)10-16)9-16,17)9-17)8-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_007	7	13	(1,(2,(3,4,(((((5,6)5-6,7,(8,((9,(10,11,12,(13,14,15)13-15,16)10-16)9-16,17)9-17)8-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_008	8	13	(1,(2,(3,4,(((((5,6)5-6,7,(8,(9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17)8-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_009	9	13	(1,(2,(3,4,(((((5,6)5-6,7,(8,(9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17)8-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_010	10	13	(1,(2,(3,4,((((5,((((6,7,8)6-8,(9,10)9-10)6-10,11,12,(13,14,15)13-15,16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_011	11	13	(1,(2,(3,4,((((5,(((6,7,8)6-8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_012	12	13	(1,(2,(3,4,((((5,(((6,7,8)6-8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_013	13	13	(1,(2,(3,4,((((5,(((6,7,8)6-8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_014	14	13	(1,(2,(3,4,((((5,((6,7,8)6-8,(((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_015	15	13	(1,(2,(3,4,((((5,((6,7,8)6-8,((9,((10,11,12,13)10-13,14,15,16)10-16)9-16,17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_016	16	13	(1,(2,(3,4,((((5,((6,7,8)6-8,((9,(10,11,12,(13,14,15)13-15,16)10-16)9-16,17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_017	17	13	(1,(2,(3,4,((((5,((6,7,8)6-8,(9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_018	18	13	(1,(2,(3,4,((((5,((6,7,8)6-8,(9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_019	19	13	(1,(2,(3,4,((((5,(((6,7,(8,(9,10)9-10)8-10)6-10,11,12,(13,14,15)13-15,16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_020	20	13	(1,(2,(3,4,((((5,((6,7,((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_021	21	13	(1,(2,(3,4,((((5,((6,7,(8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_022	22	13	(1,(2,(3,4,((((5,((6,7,(8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_023	23	13	(1,(2,(3,4,((((5,((6,7,(8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_024	24	13	(1,(2,(3,4,((((5,(6,7,(((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_025	25	13	(1,(2,(3,4,((((5,(6,7,((8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_026	26	13	(1,(2,(3,4,((((5,(6,7,((8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_027	27	13	(1,(2,(3,4,((((5,(6,7,((8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_028	28	13	(1,(2,(3,4,((((5,(6,7,(8,(((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_029	29	13	(1,(2,(3,4,((((5,(6,7,(8,((9,((10,11,12,13)10-13,14,15,16)10-16)9-16,17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_030	30	13	(1,(2,(3,4,((((5,(6,7,(8,((9,(10,11,12,(13,14,15)13-15,16)10-16)9-16,17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_031	31	13	(1,(2,(3,4,((((5,(6,7,(8,(9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_032	32	13	(1,(2,(3,4,((((5,(6,7,(8,(9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_033	33	12	(1,(2,(3,4,((((5,6)5-6,7,8,((((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_034	34	12	(1,(2,(3,4,((((5,6)5-6,7,8,(((9,((10,11,12,13)10-13,14,15,16)10-16)9-16,17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
