group	kind	family_count	n
morphosyntactic	class	1	235
morphosyntactic	class	2	1393
morphosyntactic	class	3	1740
morphosyntactic	class	4	958
morphosyntactic	class	5	397
morphosyntactic	class	6	188
morphosyntactic	class	7	63
morphosyntactic	class	8	12
morphosyntactic	class	9	7
morphosyntactic	class	10	6
morphosyntactic	class	14	1
phonological	class	1	5
phonological	class	2	110
phonological	class	3	515
phonological	class	4	898
phonological	class	5	833
phonological	class	6	829
phonological	class	7	566
phonological	class	8	379
phonological	class	9	262
phonological	class	10	193
phonological	class	11	129
phonological	class	12	108
phonological	class	13	63
phonological	class	14	36
phonological	class	15	22
phonological	class	16	18
phonological	class	17	8
phonological	class	18	7
phonological	class	19	1
phonological	class	20	7
phonological	class	21	2
phonological	class	22	2
phonological	class	23	1
phonological	class	24	3
phonological	class	25	1
phonological	class	26	2
tonosegmental	class	3	4
tonosegmental	class	4	8
tonosegmental	class	5	41
tonosegmental	class	6	86
tonosegmental	class	7	135
tonosegmental	class	8	197
tonosegmental	class	9	246
tonosegmental	class	10	279
tonosegmental	class	11	337
tonosegmental	class	12	278
tonosegmental	class	13	300
tonosegmental	class	14	365
tonosegmental	class	15	240
tonosegmental	class	16	244
tonosegmental	class	17	253
tonosegmental	class	18	226
tonosegmental	class	19	214
tonosegmental	class	20	197
tonosegmental	class	21	209
tonosegmental	class	22	158
tonosegmental	class	23	118
tonosegmental	class	24	123
tonosegmental	class	25	85
tonosegmental	class	26	115
tonosegmental	class	27	63
tonosegmental	class	28	68
tonosegmental	class	29	36
tonosegmental	class	30	42
tonosegmental	class	31	51
tonosegmental	class	32	37
tonosegmental	class	33	40
tonosegmental	class	34	30
tonosegmental	class	35	13
tonosegmental	class	36	21
tonosegmental	class	37	31
tonosegmental	class	38	24
tonosegmental	class	39	6
tonosegmental	class	40	18
tonosegmental	class	41	4
tonosegmental	class	42	12
tonosegmental	class	43	5
tonosegmental	class	44	4
tonosegmental	class	45	5
tonosegmental	class	46	6
tonosegmental	class	47	8
tonosegmental	class	48	7
tonosegmental	class	49	1
tonosegmental	class	50	1
tonosegmental	class	53	3
tonosegmental	class	55	1
tonosegmental	class	57	2
tonosegmental	class	58	2
tonosegmental	class	60	1
intonational	class	1	170
intonational	class	2	1215
intonational	class	3	1661
intonational	class	4	995
intonational	class	5	553
intonational	class	6	241
intonational	class	7	96
intonational	class	8	38
intonational	class	9	14
intonational	class	10	11
intonational	class	11	4
intonational	class	12	1
intonational	class	15	1
length	class	1	1071
length	class	2	2433
length	class	3	1192
length	class	4	249
length	class	5	46
length	class	6	6
length	class	7	3
phonologylike	bundle	2	2
phonologylike	bundle	3	36
phonologylike	bundle	4	108
phonologylike	bundle	5	254
