group	kind	family_count	n
all	all	25	1
all	all	28	1
all	all	29	3
all	all	30	2
all	all	31	7
all	all	32	1
all	all	33	3
all	all	34	4
all	all	35	6
all	all	36	6
all	all	37	9
all	all	38	19
all	all	39	14
all	all	40	14
all	all	41	22
all	all	42	25
all	all	43	20
all	all	44	36
all	all	45	34
all	all	46	31
all	all	47	48
all	all	48	37
all	all	49	39
all	all	50	28
all	all	51	52
all	all	52	53
all	all	53	49
all	all	54	65
all	all	55	49
all	all	56	51
all	all	57	57
all	all	58	77
all	all	59	65
all	all	60	61
all	all	61	62
all	all	62	88
all	all	63	78
all	all	64	78
all	all	65	83
all	all	66	82
all	all	67	74
all	all	68	68
all	all	69	73
all	all	70	84
all	all	71	77
all	all	72	93
all	all	73	75
all	all	74	88
all	all	75	80
all	all	76	72
all	all	77	67
all	all	78	82
all	all	79	95
all	all	80	85
all	all	81	64
all	all	82	78
all	all	83	60
all	all	84	86
all	all	85	70
all	all	86	73
all	all	87	71
all	all	88	75
all	all	89	71
all	all	90	60
all	all	91	47
all	all	92	66
all	all	93	45
all	all	94	65
all	all	95	43
all	all	96	52
all	all	97	45
all	all	98	55
all	all	99	34
all	all	100	60
all	all	101	41
all	all	102	49
all	all	103	44
all	all	104	52
all	all	105	31
all	all	106	49
all	all	107	36
all	all	108	45
all	all	109	27
all	all	110	32
all	all	111	19
all	all	112	31
all	all	113	35
all	all	114	38
all	all	115	22
all	all	116	29
all	all	117	18
all	all	118	23
all	all	119	21
all	all	120	30
all	all	121	27
all	all	122	29
all	all	123	28
all	all	124	29
all	all	125	15
all	all	126	26
all	all	127	13
all	all	128	17
all	all	129	23
all	all	130	27
all	all	131	10
all	all	132	14
all	all	133	15
all	all	134	12
all	all	135	13
all	all	136	16
all	all	137	4
all	all	138	15
all	all	139	14
all	all	140	16
all	all	141	7
all	all	142	8
all	all	143	6
all	all	144	8
all	all	145	6
all	all	146	8
all	all	147	5
all	all	148	5
all	all	149	7
all	all	150	16
all	all	151	4
all	all	152	7
all	all	153	4
all	all	154	7
all	all	156	1
all	all	157	5
all	all	158	2
all	all	159	3
all	all	160	7
all	all	161	3
all	all	162	3
all	all	164	4
all	all	165	2
all	all	166	5
all	all	167	5
all	all	168	1
all	all	169	2
all	all	170	2
all	all	172	1
all	all	173	1
all	all	174	2
all	all	175	1
all	all	176	2
all	all	177	1
all	all	180	2
all	all	181	2
all	all	183	2
all	all	184	2
all	all	185	2
all	all	186	1
all	all	188	1
all	all	191	1
all	all	192	1
all	all	196	1
all	all	200	2
all	all	208	1
all	all	214	2
all	all	230	1
morphosyntactic	class	3	95
morphosyntactic	class	4	439
morphosyntactic	class	5	1020
morphosyntactic	class	6	1270
morphosyntactic	class	7	1033
morphosyntactic	class	8	667
morphosyntactic	class	9	310
morphosyntactic	class	10	120
morphosyntactic	class	11	35
morphosyntactic	class	12	10
morphosyntactic	class	14	1
phonological	class	3	18
phonological	class	4	106
phonological	class	5	229
phonological	class	6	329
phonological	class	7	535
phonological	class	8	677
phonological	class	9	499
phonological	class	10	707
phonological	class	11	371
phonological	class	12	493
phonological	class	13	251
phonological	class	14	288
phonological	class	15	124
phonological	class	16	147
phonological	class	17	65
phonological	class	18	69
phonological	class	19	20
phonological	class	20	31
phonological	class	21	8
phonological	class	22	17
phonological	class	23	2
phonological	class	24	7
phonological	class	25	1
phonological	class	26	4
phonological	class	27	1
phonological	class	28	1
tonosegmental	class	2	3
tonosegmental	class	3	18
tonosegmental	class	4	176
tonosegmental	class	5	578
tonosegmental	class	6	753
tonosegmental	class	7	884
tonosegmental	class	8	735
tonosegmental	class	9	629
tonosegmental	class	10	449
tonosegmental	class	11	310
tonosegmental	class	12	183
tonosegmental	class	13	109
tonosegmental	class	14	89
tonosegmental	class	15	31
tonosegmental	class	16	24
tonosegmental	class	17	12
tonosegmental	class	18	10
tonosegmental	class	20	7
