family_id	span_id
family_001	1-22
family_001	3-21
family_001	5-21
family_001	6-8
family_001	6-17
family_001	9-17
family_001	10-13
family_001	10-16
family_001	10-17
family_002	1-22
family_002	3-21
family_002	5-6
family_002	5-21
family_002	9-17
family_002	10-13
family_002	10-16
family_002	10-17
family_003	1-22
family_003	3-21
family_003	5-6
family_003	5-21
family_003	10-13
family_003	10-16
family_003	17-19
family_004	1-22
family_004	3-21
family_004	5-21
family_004	6-8
family_004	10-13
family_004	10-16
family_004	17-19
family_005	1-22
family_005	3-21
family_005	5-21
family_005	6-8
family_005	6-10
family_005	6-17
family_006	1-22
family_006	3-21
family_006	5-21
family_006	6-8
family_006	6-10
family_006	17-19
