condition	class	n_unique_spans	n_maximal_laminar_families	kind	label	colour
all_tests	all	26	69	all		
without_adjacent_spans	all	24	37	all		
all_tests	morphosyntactic	10	3	class	Morphosyntactic	#BC3C29
without_adjacent_spans	morphosyntactic	10	3	class	Morphosyntactic	#BC3C29
all_tests	phonological	11	6	class	Phonological	#20845E
without_adjacent_spans	phonological	10	4	class	Phonological	#20845E
all_tests	tonosegmental	11	9	class	Tonosegmental	#0072B5
without_adjacent_spans	tonosegmental	10	9	class	Tonosegmental	#0072B5
all_tests	intonational	3	1	class	Intonational	#7876B1
without_adjacent_spans	intonational	3	1	class	Intonational	#7876B1
all_tests	length	6	3	class	Length	#E18727
without_adjacent_spans	length	6	3	class	Length	#E18727
all_tests	phonologylike	13	6	bundle	Phonology-like	#0072B5
all_tests	syntaxlike	20	16	bundle	Syntax-like	#BC3C29
all_tests	syntaxlike_notono	11	4	bundle	Syntax-like (no Tono)	#E18727
