family_id	family_number	n_spans	newick
family_001	1	14	(1,2,(3,(4,(5,6,(((((7,8)7-8,9,(((10,(11,12)11-12)10-12,13,14,(15,16,17)15-17,18)10-18,19)10-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_002	2	14	(1,2,(3,(4,(5,6,(((((7,8)7-8,9,((10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)10-18,19)10-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_003	3	14	(1,2,(3,(4,(5,6,(((((7,8)7-8,9,((10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)10-18,19)10-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_004	4	14	(1,2,(3,(4,(5,6,(((((7,8)7-8,9,((10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)10-18,19)10-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_005	5	14	(1,2,(3,(4,(5,6,(((((7,8)7-8,9,(10,(((11,12)11-12,13,14,(15,16,17)15-17,18)11-18,19)11-19)10-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_006	6	14	(1,2,(3,(4,(5,6,(((((7,8)7-8,9,(10,((11,((12,13,14,15)12-15,16,17,18)12-18)11-18,19)11-19)10-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_007	7	14	(1,2,(3,(4,(5,6,(((((7,8)7-8,9,(10,((11,(12,13,14,(15,16,17)15-17,18)12-18)11-18,19)11-19)10-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_008	8	14	(1,2,(3,(4,(5,6,(((((7,8)7-8,9,(10,(11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19)10-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_009	9	14	(1,2,(3,(4,(5,6,(((((7,8)7-8,9,(10,(11,((12,13,14,(15,16,17)15-17,18)12-18,19)12-19)11-19)10-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_010	10	14	(1,2,(3,(4,(5,6,((((7,((((8,9,10)8-10,(11,12)11-12)8-12,13,14,(15,16,17)15-17,18)8-18,19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_011	11	14	(1,2,(3,(4,(5,6,((((7,(((8,9,10)8-10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)8-18,19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_012	12	14	(1,2,(3,(4,(5,6,((((7,(((8,9,10)8-10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)8-18,19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_013	13	14	(1,2,(3,(4,(5,6,((((7,(((8,9,10)8-10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)8-18,19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_014	14	14	(1,2,(3,(4,(5,6,((((7,((8,9,10)8-10,(((11,12)11-12,13,14,(15,16,17)15-17,18)11-18,19)11-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_015	15	14	(1,2,(3,(4,(5,6,((((7,((8,9,10)8-10,((11,((12,13,14,15)12-15,16,17,18)12-18)11-18,19)11-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_016	16	14	(1,2,(3,(4,(5,6,((((7,((8,9,10)8-10,((11,(12,13,14,(15,16,17)15-17,18)12-18)11-18,19)11-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
