family_id	span_id
family_001	1-24
family_001	3-24
family_001	4-24
family_001	5-23
family_001	7-8
family_001	7-19
family_001	7-20
family_001	7-21
family_001	7-23
family_001	10-12
family_001	10-18
family_001	10-19
family_001	11-12
family_001	15-17
family_002	1-24
family_002	3-24
family_002	4-24
family_002	5-23
family_002	7-8
family_002	7-19
family_002	7-20
family_002	7-21
family_002	7-23
family_002	10-18
family_002	10-19
family_002	11-12
family_002	11-18
family_002	15-17
family_003	1-24
family_003	3-24
family_003	4-24
family_003	5-23
family_003	7-8
family_003	7-19
family_003	7-20
family_003	7-21
family_003	7-23
family_003	10-18
family_003	10-19
family_003	11-18
family_003	12-15
family_003	12-18
family_004	1-24
family_004	3-24
family_004	4-24
family_004	5-23
family_004	7-8
family_004	7-19
family_004	7-20
family_004	7-21
family_004	7-23
family_004	10-18
family_004	10-19
family_004	11-18
family_004	12-18
family_004	15-17
family_005	1-24
family_005	3-24
family_005	4-24
family_005	5-23
family_005	7-8
family_005	7-19
family_005	7-20
family_005	7-21
family_005	7-23
family_005	10-19
family_005	11-12
family_005	11-18
family_005	11-19
family_005	15-17
family_006	1-24
family_006	3-24
family_006	4-24
family_006	5-23
family_006	7-8
family_006	7-19
family_006	7-20
family_006	7-21
family_006	7-23
family_006	10-19
family_006	11-18
family_006	11-19
family_006	12-15
family_006	12-18
family_007	1-24
family_007	3-24
family_007	4-24
family_007	5-23
family_007	7-8
family_007	7-19
family_007	7-20
family_007	7-21
family_007	7-23
family_007	10-19
family_007	11-18
family_007	11-19
family_007	12-18
family_007	15-17
family_008	1-24
family_008	3-24
family_008	4-24
family_008	5-23
family_008	7-8
family_008	7-19
family_008	7-20
family_008	7-21
family_008	7-23
family_008	10-19
family_008	11-19
family_008	12-15
family_008	12-18
family_008	12-19
family_009	1-24
family_009	3-24
family_009	4-24
family_009	5-23
family_009	7-8
family_009	7-19
family_009	7-20
family_009	7-21
family_009	7-23
family_009	10-19
family_009	11-19
family_009	12-18
family_009	12-19
family_009	15-17
family_010	1-24
family_010	3-24
family_010	4-24
family_010	5-23
family_010	7-19
family_010	7-20
family_010	7-21
family_010	7-23
family_010	8-10
family_010	8-12
family_010	8-18
family_010	8-19
family_010	11-12
family_010	15-17
family_011	1-24
family_011	3-24
family_011	4-24
family_011	5-23
family_011	7-19
family_011	7-20
family_011	7-21
family_011	7-23
family_011	8-10
family_011	8-18
family_011	8-19
family_011	11-12
family_011	11-18
family_011	15-17
family_012	1-24
family_012	3-24
family_012	4-24
family_012	5-23
family_012	7-19
family_012	7-20
family_012	7-21
family_012	7-23
family_012	8-10
family_012	8-18
family_012	8-19
family_012	11-18
family_012	12-15
family_012	12-18
family_013	1-24
family_013	3-24
family_013	4-24
family_013	5-23
family_013	7-19
family_013	7-20
family_013	7-21
family_013	7-23
family_013	8-10
family_013	8-18
family_013	8-19
family_013	11-18
family_013	12-18
family_013	15-17
family_014	1-24
family_014	3-24
family_014	4-24
family_014	5-23
family_014	7-19
family_014	7-20
family_014	7-21
family_014	7-23
family_014	8-10
family_014	8-19
family_014	11-12
family_014	11-18
family_014	11-19
family_014	15-17
family_015	1-24
family_015	3-24
family_015	4-24
family_015	5-23
family_015	7-19
family_015	7-20
family_015	7-21
family_015	7-23
family_015	8-10
family_015	8-19
family_015	11-18
family_015	11-19
family_015	12-15
family_015	12-18
family_016	1-24
family_016	3-24
family_016	4-24
family_016	5-23
family_016	7-19
family_016	7-20
family_016	7-21
family_016	7-23
family_016	8-10
family_016	8-19
family_016	11-18
family_016	11-19
family_016	12-18
family_016	15-17
family_017	1-24
family_017	3-24
family_017	4-24
family_017	5-23
family_017	7-19
family_017	7-20
family_017	7-21
family_017	7-23
family_017	8-10
family_017	8-19
family_017	11-19
family_017	12-15
family_017	12-18
family_017	12-19
family_018	1-24
family_018	3-24
family_018	4-24
family_018	5-23
family_018	7-19
family_018	7-20
family_018	7-21
family_018	7-23
family_018	8-10
family_018	8-19
family_018	11-19
family_018	12-18
family_018	12-19
family_018	15-17
family_019	1-24
family_019	3-24
family_019	4-24
family_019	5-23
family_019	7-19
family_019	7-20
family_019	7-21
family_019	7-23
family_019	8-12
family_019	8-18
family_019	8-19
family_019	10-12
family_019	11-12
family_019	15-17
family_020	1-24
family_020	3-24
family_020	4-24
family_020	5-23
family_020	7-19
family_020	7-20
family_020	7-21
family_020	7-23
family_020	8-18
family_020	8-19
family_020	10-12
family_020	10-18
family_020	11-12
family_020	15-17
family_021	1-24
family_021	3-24
family_021	4-24
family_021	5-23
family_021	7-19
family_021	7-20
family_021	7-21
family_021	7-23
family_021	8-18
family_021	8-19
family_021	10-18
family_021	11-12
family_021	11-18
family_021	15-17
family_022	1-24
family_022	3-24
family_022	4-24
family_022	5-23
family_022	7-19
family_022	7-20
family_022	7-21
family_022	7-23
family_022	8-18
family_022	8-19
family_022	10-18
family_022	11-18
family_022	12-15
family_022	12-18
family_023	1-24
family_023	3-24
family_023	4-24
family_023	5-23
family_023	7-19
family_023	7-20
family_023	7-21
family_023	7-23
family_023	8-18
family_023	8-19
family_023	10-18
family_023	11-18
family_023	12-18
family_023	15-17
family_024	1-24
family_024	3-24
family_024	4-24
family_024	5-23
family_024	7-19
family_024	7-20
family_024	7-21
family_024	7-23
family_024	8-19
family_024	10-12
family_024	10-18
family_024	10-19
family_024	11-12
family_024	15-17
family_025	1-24
family_025	3-24
family_025	4-24
family_025	5-23
family_025	7-19
family_025	7-20
family_025	7-21
family_025	7-23
family_025	8-19
family_025	10-18
family_025	10-19
family_025	11-12
family_025	11-18
family_025	15-17
family_026	1-24
family_026	3-24
family_026	4-24
family_026	5-23
family_026	7-19
family_026	7-20
family_026	7-21
family_026	7-23
family_026	8-19
family_026	10-18
family_026	10-19
family_026	11-18
family_026	12-15
family_026	12-18
family_027	1-24
family_027	3-24
family_027	4-24
family_027	5-23
family_027	7-19
family_027	7-20
family_027	7-21
family_027	7-23
family_027	8-19
family_027	10-18
family_027	10-19
family_027	11-18
family_027	12-18
family_027	15-17
family_028	1-24
family_028	3-24
family_028	4-24
family_028	5-23
family_028	7-19
family_028	7-20
family_028	7-21
family_028	7-23
family_028	8-19
family_028	10-19
family_028	11-12
family_028	11-18
family_028	11-19
family_028	15-17
family_029	1-24
family_029	3-24
family_029	4-24
family_029	5-23
family_029	7-19
family_029	7-20
family_029	7-21
family_029	7-23
family_029	8-19
family_029	10-19
family_029	11-18
family_029	11-19
family_029	12-15
family_029	12-18
family_030	1-24
family_030	3-24
family_030	4-24
family_030	5-23
family_030	7-19
family_030	7-20
family_030	7-21
family_030	7-23
family_030	8-19
family_030	10-19
family_030	11-18
family_030	11-19
family_030	12-18
family_030	15-17
family_031	1-24
family_031	3-24
family_031	4-24
family_031	5-23
family_031	7-19
family_031	7-20
family_031	7-21
family_031	7-23
family_031	8-19
family_031	10-19
family_031	11-19
family_031	12-15
family_031	12-18
family_031	12-19
family_032	1-24
family_032	3-24
family_032	4-24
family_032	5-23
family_032	7-19
family_032	7-20
family_032	7-21
family_032	7-23
family_032	8-19
family_032	10-19
family_032	11-19
family_032	12-18
family_032	12-19
family_032	15-17
family_033	1-24
family_033	3-24
family_033	4-24
family_033	5-23
family_033	7-8
family_033	7-20
family_033	7-21
family_033	7-23
family_033	11-12
family_033	11-18
family_033	11-19
family_033	11-20
family_033	15-17
family_034	1-24
family_034	3-24
family_034	4-24
family_034	5-23
family_034	7-8
family_034	7-20
family_034	7-21
family_034	7-23
family_034	11-18
family_034	11-19
family_034	11-20
family_034	12-15
family_034	12-18
family_035	1-24
family_035	3-24
family_035	4-24
family_035	5-23
family_035	7-8
family_035	7-20
family_035	7-21
family_035	7-23
family_035	11-18
family_035	11-19
family_035	11-20
family_035	12-18
family_035	15-17
family_036	1-24
family_036	3-24
family_036	4-24
family_036	5-23
family_036	7-8
family_036	7-20
family_036	7-21
family_036	7-23
family_036	11-19
family_036	11-20
family_036	12-15
family_036	12-18
family_036	12-19
family_037	1-24
family_037	3-24
family_037	4-24
family_037	5-23
family_037	7-8
family_037	7-20
family_037	7-21
family_037	7-23
family_037	11-19
family_037	11-20
family_037	12-18
family_037	12-19
family_037	15-17
family_038	1-24
family_038	3-24
family_038	4-24
family_038	5-23
family_038	7-8
family_038	7-20
family_038	7-21
family_038	7-23
family_038	11-20
family_038	12-15
family_038	12-18
family_038	12-19
family_038	12-20
family_039	1-24
family_039	3-24
family_039	4-24
family_039	5-23
family_039	7-8
family_039	7-20
family_039	7-21
family_039	7-23
family_039	11-20
family_039	12-18
family_039	12-19
family_039	12-20
family_039	15-17
family_040	1-24
family_040	3-24
family_040	4-24
family_040	5-23
family_040	7-20
family_040	7-21
family_040	7-23
family_040	8-10
family_040	11-12
family_040	11-18
family_040	11-19
family_040	11-20
family_040	15-17
family_041	1-24
family_041	3-24
family_041	4-24
family_041	5-23
family_041	7-20
family_041	7-21
family_041	7-23
family_041	8-10
family_041	11-18
family_041	11-19
family_041	11-20
family_041	12-15
family_041	12-18
family_042	1-24
family_042	3-24
family_042	4-24
family_042	5-23
family_042	7-20
family_042	7-21
family_042	7-23
family_042	8-10
family_042	11-18
family_042	11-19
family_042	11-20
family_042	12-18
family_042	15-17
family_043	1-24
family_043	3-24
family_043	4-24
family_043	5-23
family_043	7-20
family_043	7-21
family_043	7-23
family_043	8-10
family_043	11-19
family_043	11-20
family_043	12-15
family_043	12-18
family_043	12-19
family_044	1-24
family_044	3-24
family_044	4-24
family_044	5-23
family_044	7-20
family_044	7-21
family_044	7-23
family_044	8-10
family_044	11-19
family_044	11-20
family_044	12-18
family_044	12-19
family_044	15-17
family_045	1-24
family_045	3-24
family_045	4-24
family_045	5-23
family_045	7-20
family_045	7-21
family_045	7-23
family_045	8-10
family_045	11-20
family_045	12-15
family_045	12-18
family_045	12-19
family_045	12-20
family_046	1-24
family_046	3-24
family_046	4-24
family_046	5-23
family_046	7-20
family_046	7-21
family_046	7-23
family_046	8-10
family_046	11-20
family_046	12-18
family_046	12-19
family_046	12-20
family_046	15-17
family_047	1-24
family_047	3-24
family_047	4-24
family_047	5-23
family_047	7-8
family_047	7-15
family_047	7-19
family_047	7-20
family_047	7-21
family_047	7-23
family_047	10-12
family_047	11-12
family_048	1-24
family_048	3-24
family_048	4-24
family_048	5-23
family_048	7-8
family_048	7-21
family_048	7-23
family_048	10-12
family_048	10-18
family_048	11-12
family_048	15-17
family_048	19-21
family_049	1-24
family_049	3-24
family_049	4-24
family_049	5-23
family_049	7-8
family_049	7-21
family_049	7-23
family_049	10-18
family_049	11-12
family_049	11-18
family_049	15-17
family_049	19-21
family_050	1-24
family_050	3-24
family_050	4-24
family_050	5-23
family_050	7-8
family_050	7-21
family_050	7-23
family_050	10-18
family_050	11-18
family_050	12-15
family_050	12-18
family_050	19-21
family_051	1-24
family_051	3-24
family_051	4-24
family_051	5-23
family_051	7-8
family_051	7-21
family_051	7-23
family_051	10-18
family_051	11-18
family_051	12-18
family_051	15-17
family_051	19-21
family_052	1-24
family_052	3-24
family_052	4-24
family_052	5-23
family_052	7-15
family_052	7-19
family_052	7-20
family_052	7-21
family_052	7-23
family_052	8-10
family_052	8-12
family_052	11-12
family_053	1-24
family_053	3-24
family_053	4-24
family_053	5-23
family_053	7-15
family_053	7-19
family_053	7-20
family_053	7-21
family_053	7-23
family_053	8-12
family_053	10-12
family_053	11-12
family_054	1-24
family_054	3-24
family_054	4-24
family_054	5-23
family_054	7-21
family_054	7-23
family_054	8-10
family_054	8-12
family_054	8-18
family_054	11-12
family_054	15-17
family_054	19-21
family_055	1-24
family_055	3-24
family_055	4-24
family_055	5-23
family_055	7-21
family_055	7-23
family_055	8-10
family_055	8-18
family_055	11-12
family_055	11-18
family_055	15-17
family_055	19-21
family_056	1-24
family_056	3-24
family_056	4-24
family_056	5-23
family_056	7-21
family_056	7-23
family_056	8-10
family_056	8-18
family_056	11-18
family_056	12-15
family_056	12-18
family_056	19-21
family_057	1-24
family_057	3-24
family_057	4-24
family_057	5-23
family_057	7-21
family_057	7-23
family_057	8-10
family_057	8-18
family_057	11-18
family_057	12-18
family_057	15-17
family_057	19-21
family_058	1-24
family_058	3-24
