group	kind	family_count	n
morphosyntactic	class	1	235
morphosyntactic	class	2	1393
morphosyntactic	class	3	1740
morphosyntactic	class	4	958
morphosyntactic	class	5	397
morphosyntactic	class	6	188
morphosyntactic	class	7	63
morphosyntactic	class	8	12
morphosyntactic	class	9	7
morphosyntactic	class	10	6
morphosyntactic	class	14	1
phonological	class	1	5
phonological	class	2	110
phonological	class	3	515
phonological	class	4	898
phonological	class	5	833
phonological	class	6	829
phonological	class	7	566
phonological	class	8	379
phonological	class	9	262
phonological	class	10	193
phonological	class	11	129
phonological	class	12	108
phonological	class	13	63
phonological	class	14	36
phonological	class	15	22
phonological	class	16	18
phonological	class	17	8
phonological	class	18	7
phonological	class	19	1
phonological	class	20	7
phonological	class	21	2
phonological	class	22	2
phonological	class	23	1
phonological	class	24	3
phonological	class	25	1
phonological	class	26	2
intonational	class	1	170
intonational	class	2	1215
intonational	class	3	1661
intonational	class	4	995
intonational	class	5	553
intonational	class	6	241
intonational	class	7	96
intonational	class	8	38
intonational	class	9	14
intonational	class	10	11
intonational	class	11	4
intonational	class	12	1
intonational	class	15	1
length	class	1	1071
length	class	2	2433
length	class	3	1192
length	class	4	249
length	class	5	46
length	class	6	6
length	class	7	3
tonal	class	3	4
tonal	class	4	8
tonal	class	5	41
tonal	class	6	86
tonal	class	7	135
tonal	class	8	197
tonal	class	9	246
tonal	class	10	279
tonal	class	11	337
tonal	class	12	278
tonal	class	13	300
tonal	class	14	365
tonal	class	15	240
tonal	class	16	244
tonal	class	17	253
tonal	class	18	226
tonal	class	19	214
tonal	class	20	197
tonal	class	21	209
tonal	class	22	158
tonal	class	23	118
tonal	class	24	123
tonal	class	25	85
tonal	class	26	115
tonal	class	27	63
tonal	class	28	68
tonal	class	29	36
tonal	class	30	42
tonal	class	31	51
tonal	class	32	37
tonal	class	33	40
tonal	class	34	30
tonal	class	35	13
tonal	class	36	21
tonal	class	37	31
tonal	class	38	24
tonal	class	39	6
tonal	class	40	18
tonal	class	41	4
tonal	class	42	12
tonal	class	43	5
tonal	class	44	4
tonal	class	45	5
tonal	class	46	6
tonal	class	47	8
tonal	class	48	7
tonal	class	49	1
tonal	class	50	1
tonal	class	53	3
tonal	class	55	1
tonal	class	57	2
tonal	class	58	2
tonal	class	60	1
phonologylike	bundle	2	2
phonologylike	bundle	3	36
phonologylike	bundle	4	108
phonologylike	bundle	5	254
phonologylike	bundle	6	402
phonologylike	bundle	7	469
phonologylike	bundle	8	498
phonologylike	bundle	9	437
phonologylike	bundle	10	471
phonologylike	bundle	11	416
phonologylike	bundle	12	340
phonologylike	bundle	13	256
phonologylike	bundle	14	255
phonologylike	bundle	15	189
phonologylike	bundle	16	179
phonologylike	bundle	17	127
phonologylike	bundle	18	111
phonologylike	bundle	19	100
phonologylike	bundle	20	66
phonologylike	bundle	21	63
phonologylike	bundle	22	45
phonologylike	bundle	23	30
phonologylike	bundle	24	24
phonologylike	bundle	25	21
phonologylike	bundle	26	18
phonologylike	bundle	27	16
phonologylike	bundle	28	18
phonologylike	bundle	29	6
phonologylike	bundle	30	9
phonologylike	bundle	31	4
phonologylike	bundle	32	7
phonologylike	bundle	33	5
phonologylike	bundle	34	4
phonologylike	bundle	35	3
phonologylike	bundle	36	3
phonologylike	bundle	37	1
phonologylike	bundle	40	2
phonologylike	bundle	42	2
phonologylike	bundle	44	1
phonologylike	bundle	46	1
phonologylike	bundle	47	1
syntaxlike	bundle	1	17
syntaxlike	bundle	2	277
syntaxlike	bundle	3	856
syntaxlike	bundle	4	1119
syntaxlike	bundle	5	877
syntaxlike	bundle	6	740
syntaxlike	bundle	7	420
syntaxlike	bundle	8	275
syntaxlike	bundle	9	159
syntaxlike	bundle	10	111
syntaxlike	bundle	11	59
syntaxlike	bundle	12	37
syntaxlike	bundle	13	21
syntaxlike	bundle	14	11
syntaxlike	bundle	15	5
syntaxlike	bundle	16	7
syntaxlike	bundle	17	2
syntaxlike	bundle	18	4
syntaxlike	bundle	19	1
syntaxlike	bundle	20	1
syntaxlike	bundle	22	1
syntaxlike_notono	bundle	1	17
syntaxlike_notono	bundle	2	277
syntaxlike_notono	bundle	3	856
syntaxlike_notono	bundle	4	1119
syntaxlike_notono	bundle	5	877
syntaxlike_notono	bundle	6	740
syntaxlike_notono	bundle	7	420
syntaxlike_notono	bundle	8	275
syntaxlike_notono	bundle	9	159
syntaxlike_notono	bundle	10	111
syntaxlike_notono	bundle	11	59
syntaxlike_notono	bundle	12	37
syntaxlike_notono	bundle	13	21
syntaxlike_notono	bundle	14	11
syntaxlike_notono	bundle	15	5
syntaxlike_notono	bundle	16	7
syntaxlike_notono	bundle	17	2
syntaxlike_notono	bundle	18	4
syntaxlike_notono	bundle	19	1
syntaxlike_notono	bundle	20	1
syntaxlike_notono	bundle	22	1
