family_id	span_id
family_001	1-24
family_001	5-23
family_001	7-23
family_001	8-10
family_001	8-19
family_001	11-19
family_001	12-15
family_001	12-18
family_001	12-19
family_002	1-24
family_002	5-23
family_002	7-8
family_002	7-23
family_002	11-19
family_002	12-15
family_002	12-18
family_002	12-19
family_003	1-24
family_003	5-23
family_003	7-8
family_003	7-23
family_003	12-15
family_003	12-18
family_003	19-21
family_004	1-24
family_004	5-23
family_004	7-23
family_004	8-10
family_004	12-15
family_004	12-18
family_004	19-21
family_005	1-24
family_005	5-23
family_005	7-23
family_005	8-10
family_005	8-12
family_005	8-19
family_006	1-24
family_006	5-23
family_006	7-23
family_006	8-10
family_006	8-12
family_006	19-21
