span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-24	1	24	24	0	9	(root)	(synthetic)	True		#000000
7-19	7	19	13	7	9	NegTonePattern2-Neg1-NoOM-MonoSyll|NegTonePattern2-Neg1-Other|NegTonePattern3-PERM-NoOM-MonoSyll|NegTonePattern3-PERM-NoOM-DiSyll|NegTonePattern3-PERM-NoOM-Other|NegTonePattern3-PERM-OM-MonoSyll|NegTonePattern3-PERM-OM-Other	tonal	False	11	#7F7F7F
8-10	8	10	3	1	3	TonePattern7-noOM	tonal	False	3	#7F7F7F
8-12	8	12	5	1	2	TonePattern7-OM-Other	tonal	False	1	#7F7F7F
8-18	8	18	11	7	5	TonePattern6-RP-noOM-Other|TonePattern6-RP-OM|TonePattern6-HAB-noOM-Other|TonePattern6-HAB-OM|TonePattern8-noOM-JST-Other|TonePattern8-OM-JST-Other|NegTonePattern2-Neg2-IMP-Other	tonal	False	7	#7F7F7F
8-19	8	19	12	12	9	TonePattern6-RP-noOM-MonoSyll|TonePattern6-HAB-noOM-MonoSyll|TonePattern7-OM-MonoSyll|TonePattern8-noOM-JST-MonoSyll|TonePattern8-noOM-JST-DiSyll|TonePattern8-OM-JST-MonoSyll|TonePattern8-OM-JST-DiTriSyll|NegTonePattern2-Neg2-IMP-NoOM-MonoSyll|NegTonePattern2-Neg2-SeqPFV-NoOM-MonoSyll|NegTonePattern2-Neg2-SeqPFV-Other|NegTonePattern3-PfvSimPST-NoOM-MonoSyll|NegTonePattern3-PfvSimPST-Other	tonal	False	10	#7F7F7F
10-12	10	12	3	1	3	TonePattern4-noOM-Other	tonal	False	4	#7F7F7F
10-18	10	18	9	2	4	TonePattern5-noOM-Other|TonePattern5-OM	tonal	False	6	#7F7F7F
10-19	10	19	10	8	3	TonePattern4-noOM-MonoSyll|TonePattern4-noOM-DiSyll|TonePattern4-OM-MonoSyll|TonePattern4-OM-DiTriSyll|TonePattern4-OM-Other|TonePattern5-noOM-MonoDiSyll|NegTonePattern4-noOM|NegTonePattern4-OM	tonal	False	5	#7F7F7F
11-12	11	12	2	1	9	TonePattern2-OM-Other	tonal	False	9	#7F7F7F
11-18	11	18	8	1	5	TonePattern3-OM-Other	tonal	False	8	#7F7F7F
11-19	11	19	9	3	2	TonePattern2-OM-MonoSyll|TonePattern2-OM-DiSyll|TonePattern3-OM-MonoSyll	tonal	False	2	#7F7F7F
