family_id	family_number	n_spans	newick
family_001	1	9	(((1,2,(3,(4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11)3-11)1-11,12,13)1-13,14)1-14;
family_002	2	9	(((1,2,(3,(4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11)3-11)1-11,12,13)1-13,14)1-14;
family_003	3	9	((1,2,((3,(4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11)3-11,12,13)3-13)1-13,14)1-14;
family_004	4	9	((1,2,((3,(4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11)3-11,12,13)3-13)1-13,14)1-14;
family_005	5	9	((1,2,(3,((4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11,12,13)4-13)3-13)1-13,14)1-14;
family_006	6	9	((1,2,(3,((4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11,12,13)4-13)3-13)1-13,14)1-14;
family_007	7	9	(1,2,(((3,(4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11)3-11,12,13)3-13,14)3-14)1-14;
family_008	8	9	(1,2,(((3,(4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11)3-11,12,13)3-13,14)3-14)1-14;
family_009	9	9	(1,2,((3,((4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11,12,13)4-13)3-13,14)3-14)1-14;
family_010	10	9	(1,2,((3,((4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11,12,13)4-13)3-13,14)3-14)1-14;
family_011	11	8	(((1,2,(((3,((4,5,6)4-6,7)4-7,8)3-8,9)3-9,10,11)3-11)1-11,12,13)1-13,14)1-14;
family_012	12	8	(((1,2,(((3,(4,5,(6,7)6-7)4-7,8)3-8,9)3-9,10,11)3-11)1-11,12,13)1-13,14)1-14;
family_013	13	8	(((1,2,((3,4,(5,((6,7)6-7,8,9)6-9)5-9)3-9,10,11)3-11)1-11,12,13)1-13,14)1-14;
family_014	14	8	((1,2,((((3,((4,5,6)4-6,7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13)1-13,14)1-14;
family_015	15	8	((1,2,((((3,(4,5,(6,7)6-7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13)1-13,14)1-14;
family_016	16	8	((1,2,(((3,4,(5,((6,7)6-7,8,9)6-9)5-9)3-9,10,11)3-11,12,13)3-13)1-13,14)1-14;
family_017	17	8	(1,2,(((((3,((4,5,6)4-6,7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13,14)3-14)1-14;
family_018	18	8	(1,2,(((((3,(4,5,(6,7)6-7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13,14)3-14)1-14;
family_019	19	8	(1,2,((((3,4,(5,((6,7)6-7,8,9)6-9)5-9)3-9,10,11)3-11,12,13)3-13,14)3-14)1-14;
family_020	20	7	(((1,2,(3,(((4,5,6)4-6,7)4-7,8,9,10,11)4-11)3-11)1-11,12,13)1-13,14)1-14;
family_021	21	7	(((1,2,(3,((4,5,(6,7)6-7)4-7,8,9,10,11)4-11)3-11)1-11,12,13)1-13,14)1-14;
family_022	22	7	((1,2,((3,(((4,5,6)4-6,7)4-7,8,9,10,11)4-11)3-11,12,13)3-13)1-13,14)1-14;
family_023	23	7	((1,2,((3,((4,5,(6,7)6-7)4-7,8,9,10,11)4-11)3-11,12,13)3-13)1-13,14)1-14;
family_024	24	7	((1,2,(3,((((4,5,6)4-6,7)4-7,8,9,10,11)4-11,12,13)4-13)3-13)1-13,14)1-14;
family_025	25	7	((1,2,(3,(((4,5,(6,7)6-7)4-7,8,9,10,11)4-11,12,13)4-13)3-13)1-13,14)1-14;
family_026	26	7	(1,2,(((3,(((4,5,6)4-6,7)4-7,8,9,10,11)4-11)3-11,12,13)3-13,14)3-14)1-14;
family_027	27	7	(1,2,(((3,((4,5,(6,7)6-7)4-7,8,9,10,11)4-11)3-11,12,13)3-13,14)3-14)1-14;
family_028	28	7	(1,2,((3,((((4,5,6)4-6,7)4-7,8,9,10,11)4-11,12,13)4-13)3-13,14)3-14)1-14;
family_029	29	7	(1,2,((3,(((4,5,(6,7)6-7)4-7,8,9,10,11)4-11,12,13)4-13)3-13,14)3-14)1-14;
family_030	30	7	(1,2,(3,4,(((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11,12,13,14)5-14)3-14)1-14;
family_031	31	7	(1,2,(3,4,((5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11,12,13,14)5-14)3-14)1-14;
