family_id	span_id
family_001	1-11
family_001	1-13
family_001	1-14
family_001	3-11
family_001	4-11
family_001	5-9
family_001	5-11
family_001	6-7
family_001	6-9
family_002	1-11
family_002	1-13
family_002	1-14
family_002	3-11
family_002	4-11
family_002	5-11
family_002	6-7
family_002	6-9
family_002	6-11
family_003	1-13
family_003	1-14
family_003	3-11
family_003	3-13
family_003	4-11
family_003	5-9
family_003	5-11
family_003	6-7
family_003	6-9
family_004	1-13
family_004	1-14
family_004	3-11
family_004	3-13
family_004	4-11
family_004	5-11
family_004	6-7
family_004	6-9
family_004	6-11
family_005	1-13
family_005	1-14
family_005	3-13
family_005	4-11
family_005	4-13
family_005	5-9
family_005	5-11
family_005	6-7
family_005	6-9
family_006	1-13
family_006	1-14
family_006	3-13
family_006	4-11
family_006	4-13
family_006	5-11
family_006	6-7
family_006	6-9
family_006	6-11
family_007	1-14
family_007	3-11
family_007	3-13
family_007	3-14
family_007	4-11
family_007	5-9
family_007	5-11
family_007	6-7
family_007	6-9
family_008	1-14
family_008	3-11
family_008	3-13
family_008	3-14
family_008	4-11
family_008	5-11
family_008	6-7
family_008	6-9
family_008	6-11
family_009	1-14
family_009	3-13
family_009	3-14
family_009	4-11
family_009	4-13
family_009	5-9
family_009	5-11
family_009	6-7
family_009	6-9
family_010	1-14
family_010	3-13
family_010	3-14
family_010	4-11
family_010	4-13
family_010	5-11
family_010	6-7
family_010	6-9
family_010	6-11
family_011	1-11
family_011	1-13
family_011	1-14
family_011	3-8
family_011	3-9
family_011	3-11
family_011	4-6
family_011	4-7
family_012	1-11
family_012	1-13
family_012	1-14
family_012	3-8
family_012	3-9
family_012	3-11
family_012	4-7
family_012	6-7
family_013	1-11
family_013	1-13
family_013	1-14
family_013	3-9
family_013	3-11
family_013	5-9
family_013	6-7
family_013	6-9
family_014	1-13
family_014	1-14
family_014	3-8
family_014	3-9
family_014	3-11
family_014	3-13
family_014	4-6
family_014	4-7
family_015	1-13
family_015	1-14
family_015	3-8
family_015	3-9
family_015	3-11
family_015	3-13
family_015	4-7
family_015	6-7
family_016	1-13
family_016	1-14
family_016	3-9
family_016	3-11
family_016	3-13
family_016	5-9
family_016	6-7
family_016	6-9
family_017	1-14
family_017	3-8
family_017	3-9
family_017	3-11
family_017	3-13
family_017	3-14
family_017	4-6
family_017	4-7
family_018	1-14
family_018	3-8
family_018	3-9
family_018	3-11
family_018	3-13
family_018	3-14
family_018	4-7
family_018	6-7
family_019	1-14
family_019	3-9
family_019	3-11
family_019	3-13
family_019	3-14
family_019	5-9
family_019	6-7
family_019	6-9
family_020	1-11
family_020	1-13
family_020	1-14
family_020	3-11
family_020	4-6
family_020	4-7
family_020	4-11
family_021	1-11
family_021	1-13
family_021	1-14
family_021	3-11
family_021	4-7
family_021	4-11
family_021	6-7
family_022	1-13
family_022	1-14
family_022	3-11
family_022	3-13
family_022	4-6
family_022	4-7
family_022	4-11
family_023	1-13
family_023	1-14
family_023	3-11
family_023	3-13
family_023	4-7
family_023	4-11
family_023	6-7
family_024	1-13
family_024	1-14
family_024	3-13
family_024	4-6
family_024	4-7
family_024	4-11
family_024	4-13
family_025	1-13
family_025	1-14
family_025	3-13
family_025	4-7
family_025	4-11
family_025	4-13
family_025	6-7
family_026	1-14
family_026	3-11
family_026	3-13
family_026	3-14
family_026	4-6
family_026	4-7
family_026	4-11
family_027	1-14
family_027	3-11
family_027	3-13
family_027	3-14
family_027	4-7
family_027	4-11
family_027	6-7
family_028	1-14
family_028	3-13
family_028	3-14
family_028	4-6
family_028	4-7
family_028	4-11
family_028	4-13
family_029	1-14
family_029	3-13
family_029	3-14
family_029	4-7
family_029	4-11
family_029	4-13
family_029	6-7
family_030	1-14
family_030	3-14
family_030	5-9
family_030	5-11
family_030	5-14
family_030	6-7
family_030	6-9
family_031	1-14
family_031	3-14
family_031	5-11
family_031	5-14
family_031	6-7
family_031	6-9
family_031	6-11
