tree_number	newick	group_spans	strengths
1	(1,2,(((((3,((4,5,6)4-6,7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;3-9;3-8;4-7;4-6	3.6056;3.6056;3.3166;2.6458;1.7321;1.4142;2.4495;1.7321
2	(1,2,(((((3,(4,5,(6,7)6-7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;3-9;3-8;4-7;6-7	3.6056;3.6056;3.3166;2.6458;1.7321;1.4142;2.4495;3.1623
3	(1,2,(((3,(4,((5,(6,7)6-7,8,9)5-9,10,11)5-11)4-11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;4-11;5-11;5-9;6-7	3.6056;3.6056;3.3166;2.6458;2.8284;2.4495;2.0;3.1623
4	(1,2,(((3,(4,(5,((6,7)6-7,8,9,10,11)6-11)5-11)4-11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;4-11;5-11;6-11;6-7	3.6056;3.6056;3.3166;2.6458;2.8284;2.4495;1.7321;3.1623
5	(1,2,((3,((4,((5,(6,7)6-7,8,9)5-9,10,11)5-11)4-11,12,13)4-13)3-13,14)3-14)1-14;	1-14;3-14;3-13;4-13;4-11;5-11;5-9;6-7	3.6056;3.6056;3.3166;2.0;2.8284;2.4495;2.0;3.1623
6	(1,2,((3,((4,(5,((6,7)6-7,8,9,10,11)6-11)5-11)4-11,12,13)4-13)3-13,14)3-14)1-14;	1-14;3-14;3-13;4-13;4-11;5-11;6-11;6-7	3.6056;3.6056;3.3166;2.0;2.8284;2.4495;1.7321;3.1623
7	(1,2,((((3,4,(5,(6,7)6-7,8,9)5-9)3-9,10,11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;3-9;5-9;6-7	3.6056;3.6056;3.3166;2.6458;1.7321;2.0;3.1623
8	(1,2,(((3,(((4,5,6)4-6,7)4-7,8,9,10,11)4-11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;4-11;4-7;4-6	3.6056;3.6056;3.3166;2.6458;2.8284;2.4495;1.7321
9	(1,2,(((3,((4,5,(6,7)6-7)4-7,8,9,10,11)4-11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;4-11;4-7;6-7	3.6056;3.6056;3.3166;2.6458;2.8284;2.4495;3.1623
10	(1,2,((3,((((4,5,6)4-6,7)4-7,8,9,10,11)4-11,12,13)4-13)3-13,14)3-14)1-14;	1-14;3-14;3-13;4-13;4-11;4-7;4-6	3.6056;3.6056;3.3166;2.0;2.8284;2.4495;1.7321
11	(1,2,((3,(((4,5,(6,7)6-7)4-7,8,9,10,11)4-11,12,13)4-13)3-13,14)3-14)1-14;	1-14;3-14;3-13;4-13;4-11;4-7;6-7	3.6056;3.6056;3.3166;2.0;2.8284;2.4495;3.1623
12	(1,2,(3,4,(((5,(6,7)6-7,8,9)5-9,10,11)5-11,12,13,14)5-14)3-14)1-14;	1-14;3-14;5-14;5-11;5-9;6-7	3.6056;3.6056;1.4142;2.4495;2.0;3.1623
13	(1,2,(3,4,((5,((6,7)6-7,8,9,10,11)6-11)5-11,12,13,14)5-14)3-14)1-14;	1-14;3-14;5-14;5-11;6-11;6-7	3.6056;3.6056;1.4142;2.4495;1.7321;3.1623
