group	kind	family_count	n
morphosyntactic	class	1	1
morphosyntactic	class	2	94
morphosyntactic	class	3	389
morphosyntactic	class	4	621
morphosyntactic	class	5	726
morphosyntactic	class	6	930
morphosyntactic	class	7	445
morphosyntactic	class	8	586
morphosyntactic	class	9	342
morphosyntactic	class	10	378
morphosyntactic	class	11	119
morphosyntactic	class	12	170
morphosyntactic	class	13	100
morphosyntactic	class	14	30
morphosyntactic	class	15	27
morphosyntactic	class	16	27
morphosyntactic	class	17	3
morphosyntactic	class	18	9
morphosyntactic	class	19	1
morphosyntactic	class	21	2
phonological	class	1	23
phonological	class	2	372
phonological	class	3	886
phonological	class	4	1133
phonological	class	5	778
phonological	class	6	838
phonological	class	7	271
phonological	class	8	369
phonological	class	9	143
phonological	class	10	114
phonological	class	11	28
phonological	class	12	31
phonological	class	13	6
phonological	class	14	1
phonological	class	15	5
phonological	class	16	1
phonological	class	18	1
indeterminate	class	1	57
indeterminate	class	2	675
indeterminate	class	3	1106
indeterminate	class	4	1258
indeterminate	class	5	775
indeterminate	class	6	646
indeterminate	class	7	148
indeterminate	class	8	222
indeterminate	class	9	59
indeterminate	class	10	35
indeterminate	class	11	3
indeterminate	class	12	14
indeterminate	class	13	1
indeterminate	class	14	1
morsyn_indet	bundle	5	4
morsyn_indet	bundle	6	35
morsyn_indet	bundle	7	32
morsyn_indet	bundle	8	85
morsyn_indet	bundle	9	106
morsyn_indet	bundle	10	165
morsyn_indet	bundle	11	243
morsyn_indet	bundle	12	185
morsyn_indet	bundle	13	355
morsyn_indet	bundle	14	189
morsyn_indet	bundle	15	406
morsyn_indet	bundle	16	458
morsyn_indet	bundle	17	413
morsyn_indet	bundle	18	276
morsyn_indet	bundle	19	148
morsyn_indet	bundle	20	354
morsyn_indet	bundle	21	216
morsyn_indet	bundle	22	150
morsyn_indet	bundle	23	261
morsyn_indet	bundle	24	267
morsyn_indet	bundle	25	265
morsyn_indet	bundle	26	79
morsyn_indet	bundle	28	20
morsyn_indet	bundle	29	126
morsyn_indet	bundle	31	162
