tree_number	newick	group_spans	group_convergence
1	(((1,2,(3,(4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11)3-11)1-11,12,13)1-13,14)1-14;	1-14;1-13;1-11;3-11;4-11;5-11;5-9;6-9;6-7	0;2;2;3;3;1;1;1;3
2	(((1,2,(3,(4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11)3-11)1-11,12,13)1-13,14)1-14;	1-14;1-13;1-11;3-11;4-11;5-11;6-11;6-9;6-7	0;2;2;3;3;1;1;1;3
3	((1,2,((3,(4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11)3-11,12,13)3-13)1-13,14)1-14;	1-14;1-13;3-13;3-11;4-11;5-11;5-9;6-9;6-7	0;2;4;3;3;1;1;1;3
4	((1,2,((3,(4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11)3-11,12,13)3-13)1-13,14)1-14;	1-14;1-13;3-13;3-11;4-11;5-11;6-11;6-9;6-7	0;2;4;3;3;1;1;1;3
5	((1,2,(3,((4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11,12,13)4-13)3-13)1-13,14)1-14;	1-14;1-13;3-13;4-13;4-11;5-11;5-9;6-9;6-7	0;2;4;3;3;1;1;1;3
6	((1,2,(3,((4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11,12,13)4-13)3-13)1-13,14)1-14;	1-14;1-13;3-13;4-13;4-11;5-11;6-11;6-9;6-7	0;2;4;3;3;1;1;1;3
7	(1,2,(((3,(4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;4-11;5-11;5-9;6-9;6-7	0;1;4;3;3;1;1;1;3
8	(1,2,(((3,(4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;4-11;5-11;6-11;6-9;6-7	0;1;4;3;3;1;1;1;3
9	(1,2,((3,((4,((5,((6,7)6-7,8,9)6-9)5-9,10,11)5-11)4-11,12,13)4-13)3-13,14)3-14)1-14;	1-14;3-14;3-13;4-13;4-11;5-11;5-9;6-9;6-7	0;1;4;3;3;1;1;1;3
10	(1,2,((3,((4,(5,(((6,7)6-7,8,9)6-9,10,11)6-11)5-11)4-11,12,13)4-13)3-13,14)3-14)1-14;	1-14;3-14;3-13;4-13;4-11;5-11;6-11;6-9;6-7	0;1;4;3;3;1;1;1;3
11	(((1,2,(((3,((4,5,6)4-6,7)4-7,8)3-8,9)3-9,10,11)3-11)1-11,12,13)1-13,14)1-14;	1-14;1-13;1-11;3-11;3-9;3-8;4-7;4-6	0;2;2;3;2;1;1;1
12	(((1,2,(((3,(4,5,(6,7)6-7)4-7,8)3-8,9)3-9,10,11)3-11)1-11,12,13)1-13,14)1-14;	1-14;1-13;1-11;3-11;3-9;3-8;4-7;6-7	0;2;2;3;2;1;1;3
13	(((1,2,((3,4,(5,((6,7)6-7,8,9)6-9)5-9)3-9,10,11)3-11)1-11,12,13)1-13,14)1-14;	1-14;1-13;1-11;3-11;3-9;5-9;6-9;6-7	0;2;2;3;2;1;1;3
14	((1,2,((((3,((4,5,6)4-6,7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13)1-13,14)1-14;	1-14;1-13;3-13;3-11;3-9;3-8;4-7;4-6	0;2;4;3;2;1;1;1
15	((1,2,((((3,(4,5,(6,7)6-7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13)1-13,14)1-14;	1-14;1-13;3-13;3-11;3-9;3-8;4-7;6-7	0;2;4;3;2;1;1;3
16	((1,2,(((3,4,(5,((6,7)6-7,8,9)6-9)5-9)3-9,10,11)3-11,12,13)3-13)1-13,14)1-14;	1-14;1-13;3-13;3-11;3-9;5-9;6-9;6-7	0;2;4;3;2;1;1;3
17	(1,2,(((((3,((4,5,6)4-6,7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;3-9;3-8;4-7;4-6	0;1;4;3;2;1;1;1
18	(1,2,(((((3,(4,5,(6,7)6-7)4-7,8)3-8,9)3-9,10,11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;3-9;3-8;4-7;6-7	0;1;4;3;2;1;1;3
19	(1,2,((((3,4,(5,((6,7)6-7,8,9)6-9)5-9)3-9,10,11)3-11,12,13)3-13,14)3-14)1-14;	1-14;3-14;3-13;3-11;3-9;5-9;6-9;6-7	0;1;4;3;2;1;1;3
20	(((1,2,(3,(((4,5,6)4-6,7)4-7,8,9,10,11)4-11)3-11)1-11,12,13)1-13,14)1-14;	1-14;1-13;1-11;3-11;4-11;4-7;4-6	0;2;2;3;3;1;1
21	(((1,2,(3,((4,5,(6,7)6-7)4-7,8,9,10,11)4-11)3-11)1-11,12,13)1-13,14)1-14;	1-14;1-13;1-11;3-11;4-11;4-7;6-7	0;2;2;3;3;1;3
22	((1,2,((3,(((4,5,6)4-6,7)4-7,8,9,10,11)4-11)3-11,12,13)3-13)1-13,14)1-14;	1-14;1-13;3-13;3-11;4-11;4-7;4-6	0;2;4;3;3;1;1
23	((1,2,((3,((4,5,(6,7)6-7)4-7,8,9,10,11)4-11)3-11,12,13)3-13)1-13,14)1-14;	1-14;1-13;3-13;3-11;4-11;4-7;6-7	0;2;4;3;3;1;3
24	((1,2,(3,((((4,5,6)4-6,7)4-7,8,9,10,11)4-11,12,13)4-13)3-13)1-13,14)1-14;	1-14;1-13;3-13;4-13;4-11;4-7;4-6	0;2;4;3;3;1;1
