group	kind	family_count	n
all	all	8	1
all	all	10	17
all	all	11	32
all	all	12	49
all	all	13	74
all	all	14	161
all	all	15	196
all	all	16	241
all	all	17	313
all	all	18	296
all	all	19	339
all	all	20	372
all	all	21	356
all	all	22	369
all	all	23	339
all	all	24	250
all	all	25	267
all	all	26	223
all	all	27	208
all	all	28	166
all	all	29	127
all	all	30	140
all	all	31	99
all	all	32	66
all	all	33	55
all	all	34	60
all	all	35	48
all	all	36	41
all	all	37	26
all	all	38	11
all	all	39	20
all	all	40	14
all	all	41	3
all	all	42	6
all	all	44	1
all	all	45	2
all	all	46	6
all	all	47	2
all	all	48	1
all	all	50	1
all	all	51	1
all	all	53	1
morphosyntactic	class	2	1
morphosyntactic	class	3	62
morphosyntactic	class	4	309
morphosyntactic	class	5	641
morphosyntactic	class	6	916
morphosyntactic	class	7	981
morphosyntactic	class	8	767
morphosyntactic	class	9	615
morphosyntactic	class	10	353
morphosyntactic	class	11	169
morphosyntactic	class	12	103
morphosyntactic	class	13	38
morphosyntactic	class	14	27
morphosyntactic	class	15	10
morphosyntactic	class	16	4
morphosyntactic	class	17	4
phonological	class	2	1249
phonological	class	3	2447
phonological	class	4	926
phonological	class	5	299
phonological	class	6	78
phonological	class	8	1
indeterminate	class	2	321
indeterminate	class	3	1668
indeterminate	class	4	1945
indeterminate	class	5	845
indeterminate	class	6	215
indeterminate	class	7	6
morsyn_indet	bundle	5	5
morsyn_indet	bundle	6	24
morsyn_indet	bundle	7	71
morsyn_indet	bundle	8	146
morsyn_indet	bundle	9	279
morsyn_indet	bundle	10	421
morsyn_indet	bundle	11	519
morsyn_indet	bundle	12	597
morsyn_indet	bundle	13	588
morsyn_indet	bundle	14	545
morsyn_indet	bundle	15	481
morsyn_indet	bundle	16	400
morsyn_indet	bundle	17	294
morsyn_indet	bundle	18	198
morsyn_indet	bundle	19	137
morsyn_indet	bundle	20	112
morsyn_indet	bundle	21	58
morsyn_indet	bundle	22	42
morsyn_indet	bundle	23	32
morsyn_indet	bundle	24	21
morsyn_indet	bundle	25	13
morsyn_indet	bundle	26	6
morsyn_indet	bundle	27	4
morsyn_indet	bundle	28	2
morsyn_indet	bundle	29	2
morsyn_indet	bundle	30	3
