family_id	span_id
family_001	1-14
family_001	3-11
family_001	3-13
family_001	3-14
family_001	5-9
family_001	5-11
family_001	6-7
family_002	1-14
family_002	3-13
family_002	3-14
family_002	4-13
family_002	5-9
family_002	5-11
family_002	6-7
family_003	1-14
family_003	3-11
family_003	3-13
family_003	3-14
family_003	4-6
family_003	4-7
family_004	1-14
family_004	3-11
family_004	3-13
family_004	3-14
family_004	4-7
family_004	6-7
family_005	1-14
family_005	3-13
family_005	3-14
family_005	4-6
family_005	4-7
family_005	4-13
family_006	1-14
family_006	3-13
family_006	3-14
family_006	4-7
family_006	4-13
family_006	6-7
family_007	1-14
family_007	3-14
family_007	5-9
family_007	5-11
family_007	5-14
family_007	6-7
