span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-14	1	14	14	0	7	(root)	(synthetic)	True		#000000
3-11	3	11	9	1	3	noninterruption complex	morphosyntactic	False	5	#BC3C29
3-13	3	13	11	1	6	recursion based asyndetic maximal coordination independent	morphosyntactic	False	9	#BC3C29
3-14	3	14	12	1	7	nonpermutability rigid	morphosyntactic	False	10	#BC3C29
4-6	4	6	3	1	2	recursion based seperable roots complex preverbs	morphosyntactic	False	2	#BC3C29
4-7	4	7	4	1	4	recursion based seperable roots	morphosyntactic	False	7	#BC3C29
4-13	4	13	10	2	3	ciscategorial selection maximal|recursion based asyndetic maximal coordination conjunct	morphosyntactic	False	6	#BC3C29
5-9	5	9	5	1	3	ciscategorial selection minimal	morphosyntactic	False	4	#BC3C29
5-11	5	11	7	1	3	noninterruption multipositional noun stem	morphosyntactic	False	3	#BC3C29
5-14	5	14	10	1	1	nonpermutability scopal	morphosyntactic	False	1	#BC3C29
6-7	6	7	2	2	5	recursion based inseperable roots|recursion based secondary derivation	morphosyntactic	False	8	#BC3C29
