group	kind	family_count	n
all	all	5	4
all	all	6	31
all	all	7	52
all	all	8	113
all	all	9	172
all	all	10	237
all	all	11	303
all	all	12	355
all	all	13	338
all	all	14	385
all	all	15	350
all	all	16	341
all	all	17	297
all	all	18	322
all	all	19	258
all	all	20	272
all	all	21	177
all	all	22	200
all	all	23	132
all	all	24	140
all	all	25	73
all	all	26	105
all	all	27	59
all	all	28	62
all	all	29	33
all	all	30	38
all	all	31	22
all	all	32	28
all	all	33	19
all	all	34	17
all	all	35	10
all	all	36	11
all	all	37	6
all	all	38	14
all	all	39	1
all	all	40	7
all	all	41	3
all	all	42	4
all	all	43	2
all	all	44	1
all	all	45	2
all	all	46	2
all	all	47	1
all	all	48	1
morphosyntactic	class	2	28
morphosyntactic	class	3	219
morphosyntactic	class	4	625
morphosyntactic	class	5	861
morphosyntactic	class	6	995
morphosyntactic	class	7	796
morphosyntactic	class	8	645
morphosyntactic	class	9	308
morphosyntactic	class	10	247
morphosyntactic	class	11	113
morphosyntactic	class	12	105
morphosyntactic	class	13	28
morphosyntactic	class	14	21
morphosyntactic	class	15	3
morphosyntactic	class	16	5
morphosyntactic	class	18	1
phonological	class	1	221
phonological	class	2	1853
phonological	class	3	1952
phonological	class	4	785
phonological	class	5	141
phonological	class	6	48
indeterminate	class	1	3268
indeterminate	class	2	1732
morsyn_indet	bundle	2	7
morsyn_indet	bundle	3	64
morsyn_indet	bundle	4	264
morsyn_indet	bundle	5	525
morsyn_indet	bundle	6	750
morsyn_indet	bundle	7	758
morsyn_indet	bundle	8	714
morsyn_indet	bundle	9	564
morsyn_indet	bundle	10	505
morsyn_indet	bundle	11	271
morsyn_indet	bundle	12	238
morsyn_indet	bundle	13	106
morsyn_indet	bundle	14	111
morsyn_indet	bundle	15	44
morsyn_indet	bundle	16	36
morsyn_indet	bundle	17	13
morsyn_indet	bundle	18	21
morsyn_indet	bundle	19	3
morsyn_indet	bundle	20	4
morsyn_indet	bundle	22	1
morsyn_indet	bundle	24	1
