group	kind	family_count	n
all	all	5	3
all	all	6	31
all	all	7	58
all	all	8	137
all	all	9	231
all	all	10	344
all	all	11	404
all	all	12	514
all	all	13	528
all	all	14	484
all	all	15	433
all	all	16	375
all	all	17	303
all	all	18	269
all	all	19	169
all	all	20	171
all	all	21	125
all	all	22	98
all	all	23	60
all	all	24	76
all	all	25	37
all	all	26	39
all	all	27	20
all	all	28	27
all	all	29	17
all	all	30	17
all	all	31	6
all	all	32	7
all	all	33	2
all	all	34	2
all	all	35	3
all	all	36	2
all	all	37	1
all	all	38	2
all	all	39	1
all	all	40	1
all	all	42	1
all	all	48	1
all	all	54	1
morphosyntactic	class	2	4
morphosyntactic	class	3	167
morphosyntactic	class	4	531
morphosyntactic	class	5	937
morphosyntactic	class	6	994
morphosyntactic	class	7	948
morphosyntactic	class	8	645
morphosyntactic	class	9	306
morphosyntactic	class	10	264
morphosyntactic	class	11	70
morphosyntactic	class	12	85
morphosyntactic	class	13	17
morphosyntactic	class	14	21
morphosyntactic	class	15	3
morphosyntactic	class	16	6
morphosyntactic	class	18	2
phonological	class	1	48
phonological	class	2	1333
phonological	class	3	2902
phonological	class	4	661
phonological	class	5	41
phonological	class	6	15
indeterminate	class	1	2732
indeterminate	class	2	2268
morsyn_indet	bundle	2	1
morsyn_indet	bundle	3	30
morsyn_indet	bundle	4	144
morsyn_indet	bundle	5	387
morsyn_indet	bundle	6	586
morsyn_indet	bundle	7	882
morsyn_indet	bundle	8	868
morsyn_indet	bundle	9	692
morsyn_indet	bundle	10	583
morsyn_indet	bundle	11	301
morsyn_indet	bundle	12	234
morsyn_indet	bundle	13	114
morsyn_indet	bundle	14	81
morsyn_indet	bundle	15	36
morsyn_indet	bundle	16	26
morsyn_indet	bundle	17	15
morsyn_indet	bundle	18	9
morsyn_indet	bundle	19	3
morsyn_indet	bundle	20	4
morsyn_indet	bundle	22	3
morsyn_indet	bundle	24	1
