span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-22	1	22	22	1	1	recursion based nominalization maximal clausal nominalization	morphosyntactic	False	5	#BC3C29
1-29	1	29	29	1	2	segmental vowel-consonant deletion suffix deletion	phonological	False	9	#20845E
1-42	1	42	42	1	3	recursion based asyndetic maximal clause juxtaposition	morphosyntactic	False		#BC3C29
2-41	2	41	40	1	1	ciscategorial selection broad maximal	morphosyntactic	False	3	#BC3C29
12-13	12	13	2	1	3	segmental minimal	phonological	False	11	#20845E
12-15	12	15	4	1	3	nonpermutability maximal chi (13) and chi (18) = one morpheme	morphosyntactic	False	10	#BC3C29
12-18	12	18	7	2	3	recursion based asyndetic minimal clausal juxtaposition – lax|recursion based asyndetic minimal clause juxtaposition – strict	morphosyntactic	False	14	#BC3C29
12-21	12	21	10	2	3	noninterruption complex|noninterruption limitative lla	morphosyntactic	False	13	#BC3C29
12-22	12	22	11	1	3	recursion based nominalization minimal clausal nominalization	morphosyntactic	False	12	#BC3C29
12-25	12	25	14	1	2	ciscategorial selection minimal	morphosyntactic	False	8	#BC3C29
12-26	12	26	15	2	2	ciscategorial selection narrow maximal|free occurrence minimal	indeterminate|morphosyntactic	False	6	#966A6B
12-29	12	29	18	1	2	suprasegmental accent minimal stress	phonological	False	7	#20845E
12-38	12	38	27	1	1	segmental maximal	phonological	False	1	#20845E
12-40	12	40	29	1	1	free occurrence maximal	indeterminate	False	4	#6F99AD
12-41	12	41	30	2	1	noninterruption|suprasegmental accent maximal stress	morphosyntactic|phonological	False	2	#6E6044
