group	kind	family_count	n
all	all	2	4
all	all	3	57
all	all	4	255
all	all	5	506
all	all	6	759
all	all	7	831
all	all	8	776
all	all	9	578
all	all	10	499
all	all	11	268
all	all	12	242
all	all	13	80
all	all	14	74
all	all	15	29
all	all	16	24
all	all	17	7
all	all	18	6
all	all	19	1
all	all	20	2
all	all	22	1
all	all	23	1
morphosyntactic	class	1	616
morphosyntactic	class	2	2960
morphosyntactic	class	3	1226
morphosyntactic	class	4	198
phonological	class	1	190
phonological	class	2	1787
phonological	class	3	2074
phonological	class	4	787
phonological	class	5	145
phonological	class	6	17
indeterminate	class	1	5000
morsyn_indet	bundle	1	186
morsyn_indet	bundle	2	1758
morsyn_indet	bundle	3	2047
morsyn_indet	bundle	4	845
morsyn_indet	bundle	5	140
morsyn_indet	bundle	6	24
