group	kind	family_count	n
morphosyntactic	class	1	1625
morphosyntactic	class	2	2990
morphosyntactic	class	3	313
morphosyntactic	class	4	72
phonological	class	2	59
phonological	class	3	477
phonological	class	4	845
phonological	class	5	1273
phonological	class	6	1311
phonological	class	7	450
phonological	class	8	458
phonological	class	9	127
indeterminate	class	1	5000
morsyn_indet	bundle	1	816
morsyn_indet	bundle	2	3017
morsyn_indet	bundle	3	837
morsyn_indet	bundle	4	308
morsyn_indet	bundle	5	14
morsyn_indet	bundle	6	8
