group	kind	family_count	n
all	all	2	3
all	all	3	73
all	all	4	300
all	all	5	569
all	all	6	751
all	all	7	831
all	all	8	781
all	all	9	472
all	all	10	514
all	all	11	185
all	all	12	259
all	all	13	74
all	all	14	95
all	all	15	33
all	all	16	35
all	all	17	11
all	all	18	8
all	all	19	2
all	all	20	4
morphosyntactic	class	1	498
morphosyntactic	class	2	3689
morphosyntactic	class	3	686
morphosyntactic	class	4	127
phonological	class	2	2703
phonological	class	3	1394
phonological	class	4	862
phonological	class	5	19
phonological	class	6	22
indeterminate	class	1	5000
morsyn_indet	bundle	1	178
morsyn_indet	bundle	2	2465
morsyn_indet	bundle	3	1715
morsyn_indet	bundle	4	592
morsyn_indet	bundle	5	36
morsyn_indet	bundle	6	14
