group	kind	family_count	n
all	all	2	8
all	all	3	58
all	all	4	255
all	all	5	483
all	all	6	756
all	all	7	803
all	all	8	777
all	all	9	584
all	all	10	473
all	all	11	274
all	all	12	272
all	all	13	69
all	all	14	92
all	all	15	38
all	all	16	30
all	all	17	10
all	all	18	9
all	all	19	3
all	all	20	2
all	all	21	2
all	all	22	1
all	all	32	1
morphosyntactic	class	1	222
morphosyntactic	class	2	1841
morphosyntactic	class	3	1941
morphosyntactic	class	4	852
morphosyntactic	class	5	114
morphosyntactic	class	6	30
phonological	class	1	66
phonological	class	2	882
phonological	class	3	1806
phonological	class	4	1398
phonological	class	5	581
phonological	class	6	228
phonological	class	7	23
phonological	class	8	14
phonological	class	9	2
indeterminate	class	1	1692
indeterminate	class	2	3066
indeterminate	class	3	242
morsyn_indet	bundle	1	60
morsyn_indet	bundle	2	875
morsyn_indet	bundle	3	1800
morsyn_indet	bundle	4	1397
morsyn_indet	bundle	5	583
morsyn_indet	bundle	6	239
morsyn_indet	bundle	7	25
morsyn_indet	bundle	8	20
morsyn_indet	bundle	9	1
