family_id	span_id
family_001	1-28
family_001	10-12
family_001	10-13
family_001	10-15
family_001	10-23
family_001	10-24
family_002	1-28
family_002	3-15
family_002	4-14
family_002	10-12
family_002	10-13
family_003	1-28
family_003	3-15
family_003	10-12
family_003	10-13
family_003	10-15
family_004	1-28
family_004	4-14
family_004	4-22
family_004	10-12
family_004	10-13
family_005	1-28
family_005	4-22
family_005	10-12
family_005	10-13
family_005	10-15
family_006	1-28
family_006	10-15
family_006	10-23
family_006	10-24
family_006	11-14
family_007	1-28
family_007	10-23
family_007	10-24
family_007	11-14
family_007	11-19
family_008	1-28
family_008	3-15
family_008	4-14
family_008	11-14
family_009	1-28
family_009	3-15
family_009	10-15
family_009	11-14
family_010	1-28
family_010	4-14
family_010	4-22
family_010	11-14
family_011	1-28
family_011	4-22
family_011	10-15
family_011	11-14
family_012	1-28
family_012	4-22
family_012	11-14
family_012	11-19
