group	kind	family_count	n
morphosyntactic	class	1	744
morphosyntactic	class	2	2320
morphosyntactic	class	3	1030
morphosyntactic	class	4	692
morphosyntactic	class	5	130
morphosyntactic	class	6	78
morphosyntactic	class	7	2
morphosyntactic	class	8	4
phonological	class	1	14
phonological	class	2	263
phonological	class	3	850
phonological	class	4	666
phonological	class	5	1231
phonological	class	6	679
phonological	class	7	387
phonological	class	8	432
phonological	class	9	84
phonological	class	10	262
phonological	class	12	132
indeterminate	class	1	2180
indeterminate	class	2	2464
indeterminate	class	3	256
indeterminate	class	4	100
morsyn_indet	bundle	1	47
morsyn_indet	bundle	2	483
morsyn_indet	bundle	3	1089
morsyn_indet	bundle	4	822
morsyn_indet	bundle	5	1110
morsyn_indet	bundle	6	656
morsyn_indet	bundle	7	231
morsyn_indet	bundle	8	304
morsyn_indet	bundle	9	41
morsyn_indet	bundle	10	156
morsyn_indet	bundle	12	61
