group	kind	family_count	n
all	all	2	2
all	all	3	42
all	all	4	222
all	all	5	529
all	all	6	725
all	all	7	859
all	all	8	813
all	all	9	618
all	all	10	473
all	all	11	295
all	all	12	213
all	all	13	85
all	all	14	70
all	all	15	23
all	all	16	22
all	all	17	2
all	all	18	5
all	all	20	2
morphosyntactic	class	1	84
morphosyntactic	class	2	1821
morphosyntactic	class	3	2395
morphosyntactic	class	4	521
morphosyntactic	class	5	155
morphosyntactic	class	6	24
phonological	class	1	39
phonological	class	2	914
phonological	class	3	2106
phonological	class	4	1129
phonological	class	5	605
phonological	class	6	185
phonological	class	7	5
phonological	class	8	17
indeterminate	class	1	3011
indeterminate	class	2	1968
indeterminate	class	3	21
morsyn_indet	bundle	1	27
morsyn_indet	bundle	2	880
morsyn_indet	bundle	3	2100
morsyn_indet	bundle	4	1145
morsyn_indet	bundle	5	628
morsyn_indet	bundle	6	205
morsyn_indet	bundle	7	6
morsyn_indet	bundle	8	8
morsyn_indet	bundle	9	1
