group	kind	family_count	n
all	all	4	1
all	all	5	10
all	all	6	18
all	all	7	58
all	all	8	109
all	all	9	159
all	all	10	224
all	all	11	291
all	all	12	355
all	all	13	394
all	all	14	397
all	all	15	363
all	all	16	408
all	all	17	299
all	all	18	343
all	all	19	263
all	all	20	258
all	all	21	189
all	all	22	179
all	all	23	115
all	all	24	132
all	all	25	84
all	all	26	82
all	all	27	51
all	all	28	44
all	all	29	28
all	all	30	46
all	all	31	20
all	all	32	20
all	all	33	12
all	all	34	5
all	all	35	10
all	all	36	13
all	all	37	2
all	all	38	6
all	all	39	2
all	all	40	4
all	all	42	1
all	all	46	2
all	all	48	1
all	all	49	1
all	all	53	1
morphosyntactic	class	1	204
morphosyntactic	class	2	1760
morphosyntactic	class	3	2018
morphosyntactic	class	4	848
morphosyntactic	class	5	144
morphosyntactic	class	6	26
phonological	class	1	55
phonological	class	2	813
phonological	class	3	1834
phonological	class	4	1454
phonological	class	5	584
phonological	class	6	232
phonological	class	7	14
phonological	class	8	13
phonological	class	9	1
indeterminate	class	1	36
indeterminate	class	2	872
indeterminate	class	3	1861
indeterminate	class	4	1406
indeterminate	class	5	570
indeterminate	class	6	231
indeterminate	class	7	15
indeterminate	class	8	9
morsyn_indet	bundle	2	1
morsyn_indet	bundle	3	18
morsyn_indet	bundle	4	70
morsyn_indet	bundle	5	215
morsyn_indet	bundle	6	437
morsyn_indet	bundle	7	554
morsyn_indet	bundle	8	741
morsyn_indet	bundle	9	648
morsyn_indet	bundle	10	626
morsyn_indet	bundle	11	488
morsyn_indet	bundle	12	400
morsyn_indet	bundle	13	243
morsyn_indet	bundle	14	214
morsyn_indet	bundle	15	108
morsyn_indet	bundle	16	113
morsyn_indet	bundle	17	38
morsyn_indet	bundle	18	35
morsyn_indet	bundle	19	16
morsyn_indet	bundle	20	13
morsyn_indet	bundle	21	8
morsyn_indet	bundle	22	3
morsyn_indet	bundle	23	2
morsyn_indet	bundle	24	5
morsyn_indet	bundle	25	1
morsyn_indet	bundle	26	1
morsyn_indet	bundle	28	2
