span_id_a	span_id_b
10-13	4-12
10-13	6-12
10-13	8-10
10-13	9-10
10-16	4-12
10-16	6-12
10-16	8-10
10-16	9-10
10-17	4-12
10-17	6-12
10-17	8-10
10-17	9-10
10-17	9-16
10-18	4-12
10-18	6-12
10-18	8-10
10-18	9-10
10-18	9-16
10-18	9-17
10-19	4-12
10-19	6-12
10-19	8-10
10-19	9-10
10-19	9-16
10-19	9-17
10-21	4-12
10-21	6-12
10-21	8-10
10-21	9-10
10-21	9-16
10-21	9-17
10-21	9-20
4-12	8-21
4-12	9-16
4-12	9-17
4-12	9-20
6-12	8-21
6-12	9-16
6-12	9-17
6-12	9-20
8-10	9-16
8-10	9-17
8-10	9-20
