family_id	span_id
family_001	1-21
family_001	8-21
family_001	9-20
family_001	10-13
family_001	10-16
family_001	10-17
family_001	10-18
family_001	10-19
family_002	1-21
family_002	8-21
family_002	10-13
family_002	10-16
family_002	10-17
family_002	10-18
family_002	10-19
family_002	10-21
family_003	1-21
family_003	8-21
family_003	9-16
family_003	9-17
family_003	9-20
family_003	10-13
family_003	10-16
family_004	1-21
family_004	8-21
family_004	9-17
family_004	9-20
family_004	10-13
family_004	10-16
family_004	10-17
family_005	1-21
family_005	8-21
family_005	9-10
family_005	9-16
family_005	9-17
family_005	9-20
family_006	1-21
family_006	4-12
family_006	6-12
family_006	8-10
family_006	9-10
family_007	1-21
family_007	8-10
family_007	8-21
family_007	9-10
