group	kind	family_count	n
morphosyntactic	class	1	161
morphosyntactic	class	2	1893
morphosyntactic	class	3	2104
morphosyntactic	class	4	816
morphosyntactic	class	5	26
phonological	class	1	21
phonological	class	2	602
phonological	class	3	1626
phonological	class	4	2086
phonological	class	5	626
phonological	class	6	39
indeterminate	class	1	140
indeterminate	class	2	1862
indeterminate	class	3	2088
indeterminate	class	4	883
indeterminate	class	5	27
morsyn_indet	bundle	2	60
morsyn_indet	bundle	3	477
morsyn_indet	bundle	4	1754
morsyn_indet	bundle	5	2059
morsyn_indet	bundle	6	609
morsyn_indet	bundle	7	41
