group	kind	family_count	n
all	all	5	6
all	all	6	44
all	all	7	140
all	all	8	311
all	all	9	468
all	all	10	586
all	all	11	638
all	all	12	610
all	all	13	513
all	all	14	443
all	all	15	345
all	all	16	253
all	all	17	199
all	all	18	148
all	all	19	93
all	all	20	68
all	all	21	33
all	all	22	42
all	all	23	20
all	all	24	15
all	all	25	10
all	all	26	3
all	all	27	6
all	all	28	3
all	all	30	2
all	all	31	1
morphosyntactic	class	2	571
morphosyntactic	class	3	2874
morphosyntactic	class	4	1517
morphosyntactic	class	5	38
phonological	class	1	5
phonological	class	2	402
phonological	class	3	2378
phonological	class	4	1881
phonological	class	5	291
phonological	class	6	39
phonological	class	7	4
indeterminate	class	1	105
indeterminate	class	2	1364
indeterminate	class	3	2126
indeterminate	class	4	929
indeterminate	class	5	344
indeterminate	class	6	127
indeterminate	class	7	1
indeterminate	class	8	4
morsyn_indet	bundle	3	7
morsyn_indet	bundle	4	81
morsyn_indet	bundle	5	357
morsyn_indet	bundle	6	656
morsyn_indet	bundle	7	880
morsyn_indet	bundle	8	882
morsyn_indet	bundle	9	758
morsyn_indet	bundle	10	494
morsyn_indet	bundle	11	363
morsyn_indet	bundle	12	213
morsyn_indet	bundle	13	133
morsyn_indet	bundle	14	76
morsyn_indet	bundle	15	40
morsyn_indet	bundle	16	34
morsyn_indet	bundle	17	16
morsyn_indet	bundle	18	6
morsyn_indet	bundle	19	2
morsyn_indet	bundle	20	2
