group	kind	family_count	n
all	all	2	6
all	all	3	45
all	all	4	267
all	all	5	539
all	all	6	740
all	all	7	822
all	all	8	775
all	all	9	574
all	all	10	473
all	all	11	260
all	all	12	216
all	all	13	88
all	all	14	97
all	all	15	33
all	all	16	35
all	all	17	10
all	all	18	11
all	all	19	2
all	all	20	4
all	all	21	1
all	all	22	1
all	all	24	1
morphosyntactic	class	1	1661
morphosyntactic	class	2	3125
morphosyntactic	class	3	214
phonological	class	1	52
phonological	class	2	817
phonological	class	3	1850
phonological	class	4	1412
phonological	class	5	603
phonological	class	6	230
phonological	class	7	21
phonological	class	8	15
indeterminate	class	1	1589
indeterminate	class	2	3144
indeterminate	class	3	267
morsyn_indet	bundle	1	212
morsyn_indet	bundle	2	1877
morsyn_indet	bundle	3	1973
morsyn_indet	bundle	4	768
morsyn_indet	bundle	5	151
morsyn_indet	bundle	6	19
