group	kind	family_count	n
all	all	3	19
all	all	4	163
all	all	5	512
all	all	6	828
all	all	7	1069
all	all	8	876
all	all	9	665
all	all	10	411
all	all	11	245
all	all	12	115
all	all	13	52
all	all	14	27
all	all	15	9
all	all	16	9
morphosyntactic	class	1	1221
morphosyntactic	class	2	3760
morphosyntactic	class	3	19
phonological	class	1	11
phonological	class	2	374
phonological	class	3	1775
phonological	class	4	1597
phonological	class	5	977
phonological	class	6	214
phonological	class	7	44
phonological	class	8	8
indeterminate	class	1	615
indeterminate	class	2	4229
indeterminate	class	3	156
morsyn_indet	bundle	1	76
morsyn_indet	bundle	2	1634
morsyn_indet	bundle	3	2767
morsyn_indet	bundle	4	368
morsyn_indet	bundle	5	133
morsyn_indet	bundle	6	22
