chart	file	width	height	units
pooled_plot	pooled/cher1273_verbal_pooled_plot.pdf	36.1336363636364	14.7	cm
pooled_domainplot	pooled/cher1273_verbal_pooled_domainplot.pdf	36.1336363636364	14.7	cm
pooled_plot_indeterminate	pooled/cher1273_verbal_pooled_plot_indeterminate.pdf	27.2727272727273	7	cm
pooled_plot_indeterminate_global_layers	pooled/cher1273_verbal_pooled_plot_indeterminate_global_layers.pdf	27.2727272727273	7	cm
pooled_plot_morphosyntactic	pooled/cher1273_verbal_pooled_plot_morphosyntactic.pdf	27.2727272727273	7	cm
pooled_plot_morphosyntactic_global_layers	pooled/cher1273_verbal_pooled_plot_morphosyntactic_global_layers.pdf	27.2727272727273	7	cm
pooled_plot_phonological	pooled/cher1273_verbal_pooled_plot_phonological.pdf	35.0427272727273	7	cm
pooled_plot_phonological_global_layers	pooled/cher1273_verbal_pooled_plot_phonological_global_layers.pdf	35.0427272727273	7	cm
boundary_skyline	boundaries/cher1273_verbal_boundary_skyline.pdf	17.4545454545455	11	in
spanchart	laminar-families/cher1273_verbal_spanchart.pdf	15.2727272727273	8	in
morsyn_laminar_forest	laminar-families/cher1273_verbal_morsyn_laminar_forest.pdf	21.8181818181818	14	in
morsyn_tree_01	laminar-families/cher1273_verbal_morsyn_tree_01.pdf	13.0909090909091	8	in
morsyn_tree_02	laminar-families/cher1273_verbal_morsyn_tree_02.pdf	13.0909090909091	8	in
morsyn_tree_03	laminar-families/cher1273_verbal_morsyn_tree_03.pdf	13.0909090909091	8	in
phon_laminar_forest	laminar-families/cher1273_verbal_phon_laminar_forest.pdf	21.8181818181818	14	in
phon_tree_01	laminar-families/cher1273_verbal_phon_tree_01.pdf	13.0909090909091	8	in
phon_tree_02	laminar-families/cher1273_verbal_phon_tree_02.pdf	13.0909090909091	8	in
indet_laminar_forest	laminar-families/cher1273_verbal_indet_laminar_forest.pdf	21.8181818181818	14	in
indet_tree_01	laminar-families/cher1273_verbal_indet_tree_01.pdf	13.0909090909091	8	in
indet_tree_02	laminar-families/cher1273_verbal_indet_tree_02.pdf	13.0909090909091	8	in
indet_tree_03	laminar-families/cher1273_verbal_indet_tree_03.pdf	13.0909090909091	8	in
morsyn_indet_laminar_forest	laminar-families/cher1273_verbal_morsyn_indet_laminar_forest.pdf	21.8181818181818	14	in
morsyn_indet_tree_01	laminar-families/cher1273_verbal_morsyn_indet_tree_01.pdf	13.0909090909091	8	in
morsyn_indet_tree_02	laminar-families/cher1273_verbal_morsyn_indet_tree_02.pdf	13.0909090909091	8	in
morsyn_indet_tree_03	laminar-families/cher1273_verbal_morsyn_indet_tree_03.pdf	13.0909090909091	8	in
morsyn_indet_tree_04	laminar-families/cher1273_verbal_morsyn_indet_tree_04.pdf	13.0909090909091	8	in
laminar_overlay	laminar-families/cher1273_verbal_laminar_overlay.pdf	21.8181818181818	14	in
laminar_overlay_legend	laminar-families/cher1273_verbal_laminar_overlay_legend.pdf	21.8181818181818	14	in
all_families_labeled	laminar-families/cher1273_verbal_all_families_labeled.pdf	21.8181818181818	14	in
all_families_labeled_legend	laminar-families/cher1273_verbal_all_families_labeled_legend.pdf	21.8181818181818	14	in
freqtree	laminar-families/cher1273_verbal_freqtree.pdf	17.4545454545455	10	in
most_binary_tree	laminar-families/cher1273_verbal_most_binary_tree.pdf	17.4545454545455	10	in
exemplary_trees_1	laminar-families/cher1273_verbal_exemplary_trees_1.pdf	90.7	15.58	cm
exemplary_trees_slide_1_tree	laminar-families/cher1273_verbal_exemplary_trees_slide_1_tree.pdf	14.5450909090909	7.5	in
exemplary_trees_slide_1_evidence	laminar-families/cher1273_verbal_exemplary_trees_slide_1_evidence.pdf	35.0427272727273	9.8	cm
exemplary_trees_2	laminar-families/cher1273_verbal_exemplary_trees_2.pdf	82.9	15.58	cm
exemplary_trees_slide_2_tree	laminar-families/cher1273_verbal_exemplary_trees_slide_2_tree.pdf	14.5450909090909	7.5	in
exemplary_trees_slide_2_evidence	laminar-families/cher1273_verbal_exemplary_trees_slide_2_evidence.pdf	27.2727272727273	7	cm
exemplary_trees_3	laminar-families/cher1273_verbal_exemplary_trees_3.pdf	90.7	15.58	cm
exemplary_trees_slide_3_tree	laminar-families/cher1273_verbal_exemplary_trees_slide_3_tree.pdf	14.5450909090909	7.5	in
exemplary_trees_slide_3_evidence	laminar-families/cher1273_verbal_exemplary_trees_slide_3_evidence.pdf	35.0427272727273	9.8	cm
exemplary_trees_4	laminar-families/cher1273_verbal_exemplary_trees_4.pdf	90.7	15.58	cm
exemplary_trees_slide_4_tree	laminar-families/cher1273_verbal_exemplary_trees_slide_4_tree.pdf	14.5450909090909	7.5	in
exemplary_trees_slide_4_evidence	laminar-families/cher1273_verbal_exemplary_trees_slide_4_evidence.pdf	35.0427272727273	9.8	cm
exemplary_trees_5	laminar-families/cher1273_verbal_exemplary_trees_5.pdf	90.7	15.58	cm
exemplary_trees_slide_5_tree	laminar-families/cher1273_verbal_exemplary_trees_slide_5_tree.pdf	14.5450909090909	7.5	in
exemplary_trees_slide_5_evidence	laminar-families/cher1273_verbal_exemplary_trees_slide_5_evidence.pdf	35.0427272727273	9.8	cm
