condition	class	n_unique_spans	n_maximal_laminar_families
all_tests	all	26	69
without_adjacent_spans	all	24	37
all_tests	morphosyntactic	10	3
without_adjacent_spans	morphosyntactic	10	3
all_tests	phonological	11	6
without_adjacent_spans	phonological	10	4
all_tests	tonosegmental	11	9
without_adjacent_spans	tonosegmental	10	9
all_tests	intonational	3	1
without_adjacent_spans	intonational	3	1
all_tests	length	6	3
without_adjacent_spans	length	6	3
all_tests	phonologylike	13	6
all_tests	syntaxlike	20	16
all_tests	syntaxlike_notono	11	4
