chart	file	width	height	units
pooled_plot	pooled/dura0000_verbal_pooled_plot.pdf	39.5227272727273	18.9	cm
pooled_domainplot	pooled/dura0000_verbal_pooled_domainplot.pdf	39.5227272727273	18.9	cm
pooled_plot_indeterminate	pooled/dura0000_verbal_pooled_plot_indeterminate.pdf	34.4245454545455	7	cm
pooled_plot_indeterminate_global_layers	pooled/dura0000_verbal_pooled_plot_indeterminate_global_layers.pdf	34.4245454545455	7	cm
pooled_plot_morphosyntactic	pooled/dura0000_verbal_pooled_plot_morphosyntactic.pdf	35.8945454545455	7.7	cm
pooled_plot_morphosyntactic_global_layers	pooled/dura0000_verbal_pooled_plot_morphosyntactic_global_layers.pdf	35.8945454545455	7.7	cm
pooled_plot_phonological	pooled/dura0000_verbal_pooled_plot_phonological.pdf	38.2045454545455	7	cm
pooled_plot_phonological_global_layers	pooled/dura0000_verbal_pooled_plot_phonological_global_layers.pdf	38.2045454545455	7	cm
boundary_skyline	boundaries/dura0000_verbal_boundary_skyline.pdf	21.0909090909091	11	in
spanchart	laminar-families/dura0000_verbal_spanchart.pdf	18.4545454545455	8	in
morsyn_laminar_forest	laminar-families/dura0000_verbal_morsyn_laminar_forest.pdf	26.3636363636364	14	in
morsyn_tree_01	laminar-families/dura0000_verbal_morsyn_tree_01.pdf	15.8181818181818	8	in
morsyn_tree_02	laminar-families/dura0000_verbal_morsyn_tree_02.pdf	15.8181818181818	8	in
morsyn_tree_03	laminar-families/dura0000_verbal_morsyn_tree_03.pdf	15.8181818181818	8	in
morsyn_tree_04	laminar-families/dura0000_verbal_morsyn_tree_04.pdf	15.8181818181818	8	in
morsyn_tree_05	laminar-families/dura0000_verbal_morsyn_tree_05.pdf	15.8181818181818	8	in
phon_laminar_forest	laminar-families/dura0000_verbal_phon_laminar_forest.pdf	26.3636363636364	14	in
phon_tree_01	laminar-families/dura0000_verbal_phon_tree_01.pdf	15.8181818181818	8	in
phon_tree_02	laminar-families/dura0000_verbal_phon_tree_02.pdf	15.8181818181818	8	in
phon_tree_03	laminar-families/dura0000_verbal_phon_tree_03.pdf	15.8181818181818	8	in
phon_tree_04	laminar-families/dura0000_verbal_phon_tree_04.pdf	15.8181818181818	8	in
indet_laminar_forest	laminar-families/dura0000_verbal_indet_laminar_forest.pdf	26.3636363636364	14	in
indet_tree_01	laminar-families/dura0000_verbal_indet_tree_01.pdf	15.8181818181818	8	in
indet_tree_02	laminar-families/dura0000_verbal_indet_tree_02.pdf	15.8181818181818	8	in
morsyn_indet_laminar_forest	laminar-families/dura0000_verbal_morsyn_indet_laminar_forest.pdf	26.3636363636364	14	in
morsyn_indet_tree_01	laminar-families/dura0000_verbal_morsyn_indet_tree_01.pdf	15.8181818181818	8	in
morsyn_indet_tree_02	laminar-families/dura0000_verbal_morsyn_indet_tree_02.pdf	15.8181818181818	8	in
morsyn_indet_tree_03	laminar-families/dura0000_verbal_morsyn_indet_tree_03.pdf	15.8181818181818	8	in
morsyn_indet_tree_04	laminar-families/dura0000_verbal_morsyn_indet_tree_04.pdf	15.8181818181818	8	in
morsyn_indet_tree_05	laminar-families/dura0000_verbal_morsyn_indet_tree_05.pdf	15.8181818181818	8	in
morsyn_indet_tree_06	laminar-families/dura0000_verbal_morsyn_indet_tree_06.pdf	15.8181818181818	8	in
morsyn_indet_tree_07	laminar-families/dura0000_verbal_morsyn_indet_tree_07.pdf	15.8181818181818	8	in
morsyn_indet_tree_08	laminar-families/dura0000_verbal_morsyn_indet_tree_08.pdf	15.8181818181818	8	in
morsyn_indet_tree_09	laminar-families/dura0000_verbal_morsyn_indet_tree_09.pdf	15.8181818181818	8	in
morsyn_indet_tree_10	laminar-families/dura0000_verbal_morsyn_indet_tree_10.pdf	15.8181818181818	8	in
morsyn_indet_tree_11	laminar-families/dura0000_verbal_morsyn_indet_tree_11.pdf	15.8181818181818	8	in
morsyn_indet_tree_12	laminar-families/dura0000_verbal_morsyn_indet_tree_12.pdf	15.8181818181818	8	in
morsyn_indet_tree_13	laminar-families/dura0000_verbal_morsyn_indet_tree_13.pdf	15.8181818181818	8	in
morsyn_indet_tree_14	laminar-families/dura0000_verbal_morsyn_indet_tree_14.pdf	15.8181818181818	8	in
morsyn_indet_tree_15	laminar-families/dura0000_verbal_morsyn_indet_tree_15.pdf	15.8181818181818	8	in
morsyn_indet_tree_16	laminar-families/dura0000_verbal_morsyn_indet_tree_16.pdf	15.8181818181818	8	in
morsyn_indet_tree_17	laminar-families/dura0000_verbal_morsyn_indet_tree_17.pdf	15.8181818181818	8	in
laminar_overlay	laminar-families/dura0000_verbal_laminar_overlay.pdf	26.3636363636364	14	in
laminar_overlay_legend	laminar-families/dura0000_verbal_laminar_overlay_legend.pdf	26.3636363636364	14	in
all_families_labeled	laminar-families/dura0000_verbal_all_families_labeled.pdf	26.3636363636364	14	in
