chart	file	width	height	units
pooled_plot	pooled/kiow1266_verbal_pooled_plot.pdf	51.3409090909091	11.9	cm
pooled_domainplot	pooled/kiow1266_verbal_pooled_domainplot.pdf	51.3409090909091	11.9	cm
pooled_plot_indeterminate	pooled/kiow1266_verbal_pooled_plot_indeterminate.pdf	44.3181818181818	7	cm
pooled_plot_indeterminate_global_layers	pooled/kiow1266_verbal_pooled_plot_indeterminate_global_layers.pdf	44.3181818181818	7	cm
pooled_plot_morphosyntactic	pooled/kiow1266_verbal_pooled_plot_morphosyntactic.pdf	44.3181818181818	7	cm
pooled_plot_morphosyntactic_global_layers	pooled/kiow1266_verbal_pooled_plot_morphosyntactic_global_layers.pdf	44.3181818181818	7	cm
pooled_plot_phonological	pooled/kiow1266_verbal_pooled_plot_phonological.pdf	49.5681818181818	7	cm
pooled_plot_phonological_global_layers	pooled/kiow1266_verbal_pooled_plot_phonological_global_layers.pdf	49.5681818181818	7	cm
boundary_skyline	boundaries/kiow1266_verbal_boundary_skyline.pdf	28.3636363636364	11	in
spanchart	laminar-families/kiow1266_verbal_spanchart.pdf	24.8181818181818	8	in
morsyn_laminar_forest	laminar-families/kiow1266_verbal_morsyn_laminar_forest.pdf	35.4545454545455	14	in
morsyn_tree_01	laminar-families/kiow1266_verbal_morsyn_tree_01.pdf	21.2727272727273	8	in
phon_laminar_forest	laminar-families/kiow1266_verbal_phon_laminar_forest.pdf	35.4545454545455	14	in
phon_tree_01	laminar-families/kiow1266_verbal_phon_tree_01.pdf	21.2727272727273	8	in
phon_tree_02	laminar-families/kiow1266_verbal_phon_tree_02.pdf	21.2727272727273	8	in
phon_tree_03	laminar-families/kiow1266_verbal_phon_tree_03.pdf	21.2727272727273	8	in
phon_tree_04	laminar-families/kiow1266_verbal_phon_tree_04.pdf	21.2727272727273	8	in
indet_laminar_forest	laminar-families/kiow1266_verbal_indet_laminar_forest.pdf	35.4545454545455	14	in
indet_tree_01	laminar-families/kiow1266_verbal_indet_tree_01.pdf	21.2727272727273	8	in
indet_tree_02	laminar-families/kiow1266_verbal_indet_tree_02.pdf	21.2727272727273	8	in
morsyn_indet_laminar_forest	laminar-families/kiow1266_verbal_morsyn_indet_laminar_forest.pdf	35.4545454545455	14	in
morsyn_indet_tree_01	laminar-families/kiow1266_verbal_morsyn_indet_tree_01.pdf	21.2727272727273	8	in
morsyn_indet_tree_02	laminar-families/kiow1266_verbal_morsyn_indet_tree_02.pdf	21.2727272727273	8	in
laminar_overlay	laminar-families/kiow1266_verbal_laminar_overlay.pdf	35.4545454545455	14	in
laminar_overlay_legend	laminar-families/kiow1266_verbal_laminar_overlay_legend.pdf	35.4545454545455	14	in
all_families_labeled	laminar-families/kiow1266_verbal_all_families_labeled.pdf	35.4545454545455	14	in
all_families_labeled_legend	laminar-families/kiow1266_verbal_all_families_labeled_legend.pdf	35.4545454545455	14	in
freqtree	laminar-families/kiow1266_verbal_freqtree.pdf	28.3636363636364	10	in
most_binary_tree	laminar-families/kiow1266_verbal_most_binary_tree.pdf	28.3636363636364	10	in
exemplary_trees_1	laminar-families/kiow1266_verbal_exemplary_trees_1.pdf	140	25.31	cm
exemplary_trees_slide_1_tree	laminar-families/kiow1266_verbal_exemplary_trees_slide_1_tree.pdf	23.6357727272727	7.5	in
exemplary_trees_slide_1_evidence	laminar-families/kiow1266_verbal_exemplary_trees_slide_1_evidence.pdf	49.5681818181818	9.8	cm
exemplary_trees_2	laminar-families/kiow1266_verbal_exemplary_trees_2.pdf	137.7	25.31	cm
exemplary_trees_slide_2_tree	laminar-families/kiow1266_verbal_exemplary_trees_slide_2_tree.pdf	23.6357727272727	7.5	in
exemplary_trees_slide_2_evidence	laminar-families/kiow1266_verbal_exemplary_trees_slide_2_evidence.pdf	47.2581818181818	7	cm
exemplary_trees_3	laminar-families/kiow1266_verbal_exemplary_trees_3.pdf	136.2	25.31	cm
exemplary_trees_slide_3_tree	laminar-families/kiow1266_verbal_exemplary_trees_slide_3_tree.pdf	23.6357727272727	7.5	in
exemplary_trees_slide_3_evidence	laminar-families/kiow1266_verbal_exemplary_trees_slide_3_evidence.pdf	45.7881818181818	7	cm
exemplary_trees_4	laminar-families/kiow1266_verbal_exemplary_trees_4.pdf	140	25.31	cm
exemplary_trees_slide_4_tree	laminar-families/kiow1266_verbal_exemplary_trees_slide_4_tree.pdf	23.6357727272727	7.5	in
exemplary_trees_slide_4_evidence	laminar-families/kiow1266_verbal_exemplary_trees_slide_4_evidence.pdf	49.5681818181818	9.1	cm
exemplary_trees_5	laminar-families/kiow1266_verbal_exemplary_trees_5.pdf	137.7	25.31	cm
exemplary_trees_slide_5_tree	laminar-families/kiow1266_verbal_exemplary_trees_slide_5_tree.pdf	23.6357727272727	7.5	in
exemplary_trees_slide_5_evidence	laminar-families/kiow1266_verbal_exemplary_trees_slide_5_evidence.pdf	47.2581818181818	7	cm
forestspans_plot	pooled/kiow1266_verbal_forestspans_plot.pdf	60.2727272727273	24	cm
tree_count_by_class	counts-and-chance/kiow1266_verbal_tree_count_by_class.pdf	8	3.8	in
tree_count_bundles	counts-and-chance/kiow1266_verbal_tree_count_bundles.pdf	8	3.8	in
tree_count_all	counts-and-chance/kiow1266_verbal_tree_count_all.pdf	7	5	in
tree_count_without_adjacent	counts-and-chance/kiow1266_verbal_tree_count_without_adjacent.pdf	8	5	in
fragmentation_test_plot	counts-and-chance/kiow1266_verbal_fragmentation_test_plot.pdf	10	6.5	in
span_placement_test_by_group_plot	counts-and-chance/kiow1266_verbal_span_placement_test_by_group_plot.pdf	11	9	in
arbitrary_layers_test_by_group_plot	counts-and-chance/kiow1266_verbal_arbitrary_layers_test_by_group_plot.pdf	11	9	in
boundary_strength_test_jump_all	boundaries/kiow1266_verbal_boundary_strength_test_jump_all.pdf	19.5	7	in
boundary_strength_test_level_all	boundaries/kiow1266_verbal_boundary_strength_test_level_all.pdf	19.5	7	in
boundary_strength_test_jump_morphosyntactic	boundaries/kiow1266_verbal_boundary_strength_test_jump_morphosyntactic.pdf	19.5	7	in
boundary_strength_test_level_morphosyntactic	boundaries/kiow1266_verbal_boundary_strength_test_level_morphosyntactic.pdf	19.5	7	in
boundary_strength_test_jump_phonological	boundaries/kiow1266_verbal_boundary_strength_test_jump_phonological.pdf	19.5	7	in
boundary_strength_test_level_phonological	boundaries/kiow1266_verbal_boundary_strength_test_level_phonological.pdf	19.5	7	in
boundary_strength_test_jump_indeterminate	boundaries/kiow1266_verbal_boundary_strength_test_jump_indeterminate.pdf	19.5	7	in
boundary_strength_test_level_indeterminate	boundaries/kiow1266_verbal_boundary_strength_test_level_indeterminate.pdf	19.5	7	in
boundary_strength_test_jump_morsyn_indet	boundaries/kiow1266_verbal_boundary_strength_test_jump_morsyn_indet.pdf	19.5	7	in
boundary_strength_test_level_morsyn_indet	boundaries/kiow1266_verbal_boundary_strength_test_level_morsyn_indet.pdf	19.5	7	in
boundary_strength	boundaries/kiow1266_verbal_boundary_strength.pdf	19.5	7	in
boundary_strength_distributions	boundaries/kiow1266_verbal_boundary_strength_distributions.pdf	19.5	5	in
boundary_strength_overlay	boundaries/kiow1266_verbal_boundary_strength_overlay.pdf	23.0454545454545	7	in
