chart	file	width	height	units
pooled_plot	kiow1266_verbal/pooled/kiow1266_verbal_pooled_plot.pdf	51.3409090909091	11.9	cm
pooled_domainplot	kiow1266_verbal/pooled/kiow1266_verbal_pooled_domainplot.pdf	51.3409090909091	11.9	cm
pooled_plot_indeterminate	kiow1266_verbal/pooled/kiow1266_verbal_pooled_plot_indeterminate.pdf	44.3181818181818	7	cm
pooled_plot_indeterminate_global_layers	kiow1266_verbal/pooled/kiow1266_verbal_pooled_plot_indeterminate_global_layers.pdf	44.3181818181818	7	cm
pooled_plot_morphosyntactic	kiow1266_verbal/pooled/kiow1266_verbal_pooled_plot_morphosyntactic.pdf	44.3181818181818	7	cm
pooled_plot_morphosyntactic_global_layers	kiow1266_verbal/pooled/kiow1266_verbal_pooled_plot_morphosyntactic_global_layers.pdf	44.3181818181818	7	cm
pooled_plot_phonological	kiow1266_verbal/pooled/kiow1266_verbal_pooled_plot_phonological.pdf	49.5681818181818	7	cm
pooled_plot_phonological_global_layers	kiow1266_verbal/pooled/kiow1266_verbal_pooled_plot_phonological_global_layers.pdf	49.5681818181818	7	cm
boundary_skyline	kiow1266_verbal/boundaries/kiow1266_verbal_boundary_skyline.pdf	28.3636363636364	11	in
spanchart	kiow1266_verbal/laminar-families/kiow1266_verbal_spanchart.pdf	24.8181818181818	8	in
morsyn_laminar_forest	kiow1266_verbal/laminar-families/kiow1266_verbal_morsyn_laminar_forest.pdf	35.4545454545455	14	in
morsyn_tree_01	kiow1266_verbal/laminar-families/kiow1266_verbal_morsyn_tree_01.pdf	21.2727272727273	8	in
phon_laminar_forest	kiow1266_verbal/laminar-families/kiow1266_verbal_phon_laminar_forest.pdf	35.4545454545455	14	in
phon_tree_01	kiow1266_verbal/laminar-families/kiow1266_verbal_phon_tree_01.pdf	21.2727272727273	8	in
phon_tree_02	kiow1266_verbal/laminar-families/kiow1266_verbal_phon_tree_02.pdf	21.2727272727273	8	in
phon_tree_03	kiow1266_verbal/laminar-families/kiow1266_verbal_phon_tree_03.pdf	21.2727272727273	8	in
phon_tree_04	kiow1266_verbal/laminar-families/kiow1266_verbal_phon_tree_04.pdf	21.2727272727273	8	in
indet_laminar_forest	kiow1266_verbal/laminar-families/kiow1266_verbal_indet_laminar_forest.pdf	35.4545454545455	14	in
indet_tree_01	kiow1266_verbal/laminar-families/kiow1266_verbal_indet_tree_01.pdf	21.2727272727273	8	in
indet_tree_02	kiow1266_verbal/laminar-families/kiow1266_verbal_indet_tree_02.pdf	21.2727272727273	8	in
morsyn_indet_laminar_forest	kiow1266_verbal/laminar-families/kiow1266_verbal_morsyn_indet_laminar_forest.pdf	35.4545454545455	14	in
morsyn_indet_tree_01	kiow1266_verbal/laminar-families/kiow1266_verbal_morsyn_indet_tree_01.pdf	21.2727272727273	8	in
morsyn_indet_tree_02	kiow1266_verbal/laminar-families/kiow1266_verbal_morsyn_indet_tree_02.pdf	21.2727272727273	8	in
laminar_overlay	kiow1266_verbal/laminar-families/kiow1266_verbal_laminar_overlay.pdf	35.4545454545455	14	in
laminar_overlay_legend	kiow1266_verbal/laminar-families/kiow1266_verbal_laminar_overlay_legend.pdf	35.4545454545455	14	in
all_families_labeled	kiow1266_verbal/laminar-families/kiow1266_verbal_all_families_labeled.pdf	35.4545454545455	14	in
all_families_labeled_legend	kiow1266_verbal/laminar-families/kiow1266_verbal_all_families_labeled_legend.pdf	35.4545454545455	14	in
freqtree	kiow1266_verbal/laminar-families/kiow1266_verbal_freqtree.pdf	28.3636363636364	10	in
most_binary_tree	kiow1266_verbal/laminar-families/kiow1266_verbal_most_binary_tree.pdf	28.3636363636364	10	in
exemplary_trees_1	kiow1266_verbal/laminar-families/kiow1266_verbal_exemplary_trees_1.pdf	140	25.31	cm
