chart	file	width	height	units
pooled_plot	pooled/mart1259_verbal_pooled_plot.pdf	32.3290909090909	8.4	cm
pooled_domainplot	pooled/mart1259_verbal_pooled_domainplot.pdf	32.3290909090909	8.4	cm
pooled_plot_indeterminate	pooled/mart1259_verbal_pooled_plot_indeterminate.pdf	30.6818181818182	7	cm
pooled_plot_indeterminate_global_layers	pooled/mart1259_verbal_pooled_plot_indeterminate_global_layers.pdf	30.6818181818182	7	cm
pooled_plot_morphosyntactic	pooled/mart1259_verbal_pooled_plot_morphosyntactic.pdf	31.1018181818182	7	cm
pooled_plot_morphosyntactic_global_layers	pooled/mart1259_verbal_pooled_plot_morphosyntactic_global_layers.pdf	31.1018181818182	7	cm
pooled_plot_phonological	pooled/mart1259_verbal_pooled_plot_phonological.pdf	30.6818181818182	7	cm
pooled_plot_phonological_global_layers	pooled/mart1259_verbal_pooled_plot_phonological_global_layers.pdf	30.6818181818182	7	cm
boundary_skyline	boundaries/mart1259_verbal_boundary_skyline.pdf	19.6363636363636	11	in
spanchart	laminar-families/mart1259_verbal_spanchart.pdf	17.1818181818182	8	in
morsyn_laminar_forest	laminar-families/mart1259_verbal_morsyn_laminar_forest.pdf	24.5454545454545	14	in
morsyn_tree_01	laminar-families/mart1259_verbal_morsyn_tree_01.pdf	14.7272727272727	8	in
morsyn_tree_02	laminar-families/mart1259_verbal_morsyn_tree_02.pdf	14.7272727272727	8	in
phon_laminar_forest	laminar-families/mart1259_verbal_phon_laminar_forest.pdf	24.5454545454545	14	in
phon_tree_01	laminar-families/mart1259_verbal_phon_tree_01.pdf	14.7272727272727	8	in
indet_laminar_forest	laminar-families/mart1259_verbal_indet_laminar_forest.pdf	24.5454545454545	14	in
indet_tree_01	laminar-families/mart1259_verbal_indet_tree_01.pdf	14.7272727272727	8	in
morsyn_indet_laminar_forest	laminar-families/mart1259_verbal_morsyn_indet_laminar_forest.pdf	24.5454545454545	14	in
morsyn_indet_tree_01	laminar-families/mart1259_verbal_morsyn_indet_tree_01.pdf	14.7272727272727	8	in
morsyn_indet_tree_02	laminar-families/mart1259_verbal_morsyn_indet_tree_02.pdf	14.7272727272727	8	in
morsyn_indet_tree_03	laminar-families/mart1259_verbal_morsyn_indet_tree_03.pdf	14.7272727272727	8	in
morsyn_indet_tree_04	laminar-families/mart1259_verbal_morsyn_indet_tree_04.pdf	14.7272727272727	8	in
laminar_overlay	laminar-families/mart1259_verbal_laminar_overlay.pdf	24.5454545454545	14	in
laminar_overlay_legend	laminar-families/mart1259_verbal_laminar_overlay_legend.pdf	24.5454545454545	14	in
all_families_labeled	laminar-families/mart1259_verbal_all_families_labeled.pdf	24.5454545454545	14	in
all_families_labeled_legend	laminar-families/mart1259_verbal_all_families_labeled_legend.pdf	24.5454545454545	14	in
freqtree	laminar-families/mart1259_verbal_freqtree.pdf	19.6363636363636	10	in
most_binary_tree	laminar-families/mart1259_verbal_most_binary_tree.pdf	19.6363636363636	10	in
exemplary_trees_1	laminar-families/mart1259_verbal_exemplary_trees_1.pdf	93.7	17.53	cm
exemplary_trees_slide_1_tree	laminar-families/mart1259_verbal_exemplary_trees_slide_1_tree.pdf	16.3632272727273	7.5	in
exemplary_trees_slide_1_evidence	laminar-families/mart1259_verbal_exemplary_trees_slide_1_evidence.pdf	31.1018181818182	7	cm
exemplary_trees_2	laminar-families/mart1259_verbal_exemplary_trees_2.pdf	93.7	17.53	cm
exemplary_trees_slide_2_tree	laminar-families/mart1259_verbal_exemplary_trees_slide_2_tree.pdf	16.3632272727273	7.5	in
exemplary_trees_slide_2_evidence	laminar-families/mart1259_verbal_exemplary_trees_slide_2_evidence.pdf	31.1018181818182	7	cm
