group	family_count	n
all	24	1
all	26	1
all	28	2
all	29	5
all	30	4
all	31	2
all	32	1
all	33	7
all	34	2
all	35	8
all	36	6
all	37	9
all	38	8
all	39	18
all	40	19
all	41	17
all	42	20
all	43	22
all	44	16
all	45	20
all	46	27
all	47	34
all	48	37
all	49	30
all	50	36
all	51	42
all	52	49
all	53	51
all	54	56
all	55	42
all	56	58
all	57	44
all	58	55
all	59	66
all	60	46
all	61	63
all	62	57
all	63	59
all	64	63
all	65	49
all	66	69
all	67	66
all	68	69
all	69	77
all	70	63
all	71	70
all	72	76
all	73	73
all	74	59
all	75	75
all	76	76
all	77	70
all	78	89
all	79	66
all	80	62
all	81	48
all	82	71
all	83	69
all	84	65
all	85	61
all	86	58
all	87	67
all	88	67
all	89	49
all	90	71
all	91	59
all	92	67
all	93	48
all	94	54
all	95	41
all	96	48
all	97	41
all	98	57
all	99	66
all	100	56
all	101	40
all	102	54
all	103	43
all	104	51
all	105	48
all	106	50
all	107	33
all	108	52
all	109	51
all	110	46
all	111	39
all	112	29
all	113	35
all	114	40
all	115	27
all	116	34
all	117	33
all	118	28
all	119	36
all	120	28
all	121	29
all	122	31
all	123	32
all	124	25
all	125	22
all	126	27
all	127	29
all	128	27
all	129	15
all	130	22
all	131	13
all	132	21
all	133	15
all	134	20
all	135	9
all	136	17
all	137	22
all	138	18
all	139	15
all	140	20
all	141	8
all	142	15
all	143	15
all	144	17
all	145	13
all	146	16
all	147	10
all	148	8
all	149	10
all	150	8
all	151	9
all	152	8
all	153	13
all	154	6
all	155	7
all	156	19
all	157	4
all	158	9
all	159	9
all	160	4
all	161	6
all	162	6
all	163	6
all	164	6
all	165	8
all	166	5
all	167	3
all	168	5
all	169	4
all	170	4
all	171	3
all	172	6
all	173	4
all	174	6
all	175	3
all	176	7
all	177	2
all	178	2
all	179	3
all	180	4
all	181	3
all	182	4
all	183	3
all	184	1
all	185	4
all	186	2
all	187	1
all	188	5
all	189	5
all	190	2
all	191	2
all	192	5
all	193	4
all	194	1
all	196	1
all	197	3
all	198	1
all	200	2
all	201	2
all	202	4
all	203	1
all	204	2
all	207	1
all	208	1
all	210	4
all	212	2
all	213	2
all	214	1
all	215	1
all	218	2
all	220	1
all	221	1
all	222	1
all	223	1
all	229	1
all	230	1
all	232	1
all	235	1
all	236	1
all	237	1
all	238	1
all	241	2
all	242	1
all	243	1
all	251	1
all	252	2
all	254	1
all	258	1
all	262	1
all	265	1
all	268	1
all	276	2
all	322	1
morphosyntactic	2	17
morphosyntactic	3	205
morphosyntactic	4	593
morphosyntactic	5	948
morphosyntactic	6	937
morphosyntactic	7	818
morphosyntactic	8	647
morphosyntactic	9	355
morphosyntactic	10	266
morphosyntactic	11	76
morphosyntactic	12	91
morphosyntactic	13	12
morphosyntactic	14	21
morphosyntactic	15	3
morphosyntactic	16	9
morphosyntactic	18	2
phonological	2	2
phonological	3	18
phonological	4	73
phonological	5	226
phonological	6	441
phonological	7	577
phonological	8	694
phonological	9	632
phonological	10	691
phonological	11	450
phonological	12	420
phonological	13	236
phonological	14	211
phonological	15	108
phonological	16	82
phonological	17	37
phonological	18	46
phonological	19	13
phonological	20	23
phonological	21	7
phonological	22	9
phonological	23	1
phonological	26	1
phonological	28	2
tonosegmental	3	16
tonosegmental	4	80
tonosegmental	5	252
tonosegmental	6	426
tonosegmental	7	599
tonosegmental	8	678
tonosegmental	9	650
tonosegmental	10	593
tonosegmental	11	444
tonosegmental	12	437
tonosegmental	13	242
tonosegmental	14	233
tonosegmental	15	110
tonosegmental	16	93
tonosegmental	17	54
tonosegmental	18	42
tonosegmental	19	14
tonosegmental	20	14
tonosegmental	21	7
tonosegmental	22	8
tonosegmental	23	1
tonosegmental	24	2
tonosegmental	25	1
tonosegmental	26	2
tonosegmental	28	1
tonosegmental	30	1
intonational	1	3331
intonational	2	1669
length	1	47
length	2	851
length	3	1845
length	4	1407
length	5	578
length	6	224
length	7	32
length	8	16
phonologylike	3	2
phonologylike	4	20
phonologylike	5	87
phonologylike	6	180
phonologylike	7	317
phonologylike	8	452
phonologylike	9	523
phonologylike	10	616
phonologylike	11	510
phonologylike	12	511
phonologylike	13	379
phonologylike	14	376
phonologylike	15	259
phonologylike	16	245
phonologylike	17	149
phonologylike	18	121
phonologylike	19	75
phonologylike	20	58
phonologylike	21	30
phonologylike	22	39
phonologylike	23	11
phonologylike	24	16
phonologylike	25	6
phonologylike	26	6
phonologylike	27	2
phonologylike	28	3
phonologylike	29	3
phonologylike	30	2
phonologylike	32	2
syntaxlike	8	1
syntaxlike	11	1
syntaxlike	12	3
syntaxlike	13	8
syntaxlike	14	12
syntaxlike	15	11
syntaxlike	16	34
syntaxlike	17	39
syntaxlike	18	45
syntaxlike	19	57
syntaxlike	20	67
syntaxlike	21	116
syntaxlike	22	113
syntaxlike	23	122
syntaxlike	24	108
syntaxlike	25	132
syntaxlike	26	166
syntaxlike	27	148
syntaxlike	28	169
