group	kind	family_count
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	5
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	7
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	1
morphosyntactic	class	3
morphosyntactic	class	6
morphosyntactic	class	4
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	6
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	1
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	4
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	8
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	1
morphosyntactic	class	7
morphosyntactic	class	6
morphosyntactic	class	3
morphosyntactic	class	1
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	5
morphosyntactic	class	2
morphosyntactic	class	8
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	5
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	6
morphosyntactic	class	6
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	1
morphosyntactic	class	5
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	5
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	1
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	5
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	1
morphosyntactic	class	4
morphosyntactic	class	5
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	6
morphosyntactic	class	5
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	1
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	1
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	1
morphosyntactic	class	1
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	9
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	7
morphosyntactic	class	2
morphosyntactic	class	6
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	1
morphosyntactic	class	4
morphosyntactic	class	4
morphosyntactic	class	5
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	5
morphosyntactic	class	2
morphosyntactic	class	5
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	3
morphosyntactic	class	2
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	4
morphosyntactic	class	2
morphosyntactic	class	4
morphosyntactic	class	3
morphosyntactic	class	4
morphosyntactic	class	4
