group	family_count	n
all	25	1
all	28	1
all	29	3
all	30	2
all	31	7
all	32	1
all	33	3
all	34	4
all	35	6
all	36	6
all	37	9
all	38	19
all	39	14
all	40	14
all	41	22
all	42	25
all	43	20
all	44	36
all	45	34
all	46	31
all	47	48
all	48	37
all	49	39
all	50	28
all	51	52
all	52	53
all	53	49
all	54	65
all	55	49
all	56	51
all	57	57
all	58	77
all	59	65
all	60	61
all	61	62
all	62	88
all	63	78
all	64	78
all	65	83
all	66	82
all	67	74
all	68	68
all	69	73
all	70	84
all	71	77
all	72	93
all	73	75
all	74	88
all	75	80
all	76	72
all	77	67
all	78	82
all	79	95
all	80	85
all	81	64
all	82	78
all	83	60
all	84	86
all	85	70
all	86	73
all	87	71
all	88	75
all	89	71
all	90	60
all	91	47
all	92	66
all	93	45
all	94	65
all	95	43
all	96	52
all	97	45
all	98	55
all	99	34
all	100	60
all	101	41
all	102	49
all	103	44
all	104	52
all	105	31
all	106	49
all	107	36
all	108	45
all	109	27
all	110	32
all	111	19
all	112	31
all	113	35
all	114	38
all	115	22
all	116	29
all	117	18
all	118	23
all	119	21
all	120	30
all	121	27
all	122	29
all	123	28
all	124	29
all	125	15
all	126	26
all	127	13
all	128	17
all	129	23
all	130	27
all	131	10
all	132	14
all	133	15
all	134	12
all	135	13
all	136	16
all	137	4
all	138	15
all	139	14
all	140	16
all	141	7
all	142	8
all	143	6
all	144	8
all	145	6
all	146	8
all	147	5
all	148	5
all	149	7
all	150	16
all	151	4
all	152	7
all	153	4
all	154	7
all	156	1
all	157	5
all	158	2
all	159	3
all	160	7
all	161	3
all	162	3
all	164	4
all	165	2
all	166	5
all	167	5
all	168	1
all	169	2
all	170	2
all	172	1
all	173	1
all	174	2
all	175	1
all	176	2
all	177	1
all	180	2
all	181	2
all	183	2
all	184	2
all	185	2
all	186	1
all	188	1
all	191	1
all	192	1
all	196	1
all	200	2
all	208	1
all	214	2
all	230	1
morphosyntactic	3	95
morphosyntactic	4	439
morphosyntactic	5	1020
morphosyntactic	6	1270
morphosyntactic	7	1033
morphosyntactic	8	667
morphosyntactic	9	310
morphosyntactic	10	120
morphosyntactic	11	35
morphosyntactic	12	10
morphosyntactic	14	1
phonological	3	18
phonological	4	106
phonological	5	229
phonological	6	329
phonological	7	535
phonological	8	677
phonological	9	499
phonological	10	707
phonological	11	371
phonological	12	493
phonological	13	251
phonological	14	288
phonological	15	124
phonological	16	147
phonological	17	65
phonological	18	69
phonological	19	20
phonological	20	31
phonological	21	8
phonological	22	17
phonological	23	2
phonological	24	7
phonological	25	1
phonological	26	4
phonological	27	1
phonological	28	1
tonosegmental	2	3
tonosegmental	3	18
tonosegmental	4	176
tonosegmental	5	578
tonosegmental	6	753
tonosegmental	7	884
tonosegmental	8	735
tonosegmental	9	629
tonosegmental	10	449
tonosegmental	11	310
tonosegmental	12	183
tonosegmental	13	109
tonosegmental	14	89
tonosegmental	15	31
tonosegmental	16	24
tonosegmental	17	12
tonosegmental	18	10
tonosegmental	20	7
intonational	1	4506
intonational	2	494
length	2	145
length	3	1267
length	4	2167
length	5	1118
length	6	264
length	7	37
length	8	2
phonologylike	2	1
phonologylike	3	15
phonologylike	4	43
phonologylike	5	119
phonologylike	6	207
phonologylike	7	384
phonologylike	8	490
phonologylike	9	425
phonologylike	10	622
phonologylike	11	386
phonologylike	12	583
phonologylike	13	311
phonologylike	14	379
phonologylike	15	234
phonologylike	16	242
phonologylike	17	123
phonologylike	18	147
phonologylike	19	72
phonologylike	20	82
phonologylike	21	35
phonologylike	22	34
phonologylike	23	16
phonologylike	24	22
phonologylike	25	7
phonologylike	26	6
phonologylike	27	2
phonologylike	28	6
phonologylike	29	1
phonologylike	30	4
phonologylike	31	2
syntaxlike	9	1
syntaxlike	10	4
syntaxlike	11	6
syntaxlike	12	18
syntaxlike	13	29
syntaxlike	14	38
syntaxlike	15	51
syntaxlike	16	110
syntaxlike	17	133
syntaxlike	18	146
syntaxlike	19	182
syntaxlike	20	223
syntaxlike	21	223
syntaxlike	22	249
syntaxlike	23	246
syntaxlike	24	267
syntaxlike	25	244
syntaxlike	26	225
syntaxlike	27	235
syntaxlike	28	251
syntaxlike	29	228
syntaxlike	30	229
syntaxlike	31	185
syntaxlike	32	188
syntaxlike	33	184
syntaxlike	34	167
syntaxlike	35	139
syntaxlike	36	109
syntaxlike	37	99
syntaxlike	38	97
syntaxlike	39	69
syntaxlike	40	79
syntaxlike	41	53
syntaxlike	42	44
syntaxlike	43	44
syntaxlike	44	40
syntaxlike	45	16
syntaxlike	46	28
syntaxlike	47	16
syntaxlike	48	16
syntaxlike	49	15
syntaxlike	50	11
syntaxlike	51	7
syntaxlike	52	12
syntaxlike	53	11
syntaxlike	54	7
syntaxlike	55	5
syntaxlike	56	1
syntaxlike	57	3
syntaxlike	58	2
syntaxlike	59	1
syntaxlike	60	3
syntaxlike	61	2
syntaxlike	62	2
syntaxlike	63	2
syntaxlike	64	1
syntaxlike	66	1
syntaxlike	67	1
syntaxlike	68	2
syntaxlike_notono	3	6
syntaxlike_notono	4	94
syntaxlike_notono	5	409
syntaxlike_notono	6	793
syntaxlike_notono	7	1089
syntaxlike_notono	8	1029
syntaxlike_notono	9	746
syntaxlike_notono	10	456
syntaxlike_notono	11	228
syntaxlike_notono	12	107
syntaxlike_notono	13	33
syntaxlike_notono	14	7
syntaxlike_notono	16	2
syntaxlike_notono	17	1
