family	n_spans	n_polytomies	max_arity	schroder_total	catalan_total
1	13	6	5	10935	448
2	13	6	5	10935	448
3	13	6	4	9801	400
4	13	6	5	10935	448
5	13	6	5	10935	448
6	13	6	4	9801	400
7	13	6	5	10935	448
8	13	6	4	9801	400
9	13	6	5	10935	448
10	13	6	5	10935	448
11	13	6	5	10935	448
12	13	6	4	9801	400
13	13	6	5	10935	448
14	13	6	5	10935	448
15	13	6	4	9801	400
16	13	6	5	10935	448
17	13	6	4	9801	400
18	13	6	5	10935	448
19	13	6	5	10935	448
20	13	6	5	10935	448
21	13	6	5	10935	448
22	13	6	4	9801	400
23	13	6	5	10935	448
24	13	6	5	10935	448
25	13	6	5	10935	448
26	13	6	4	9801	400
27	13	6	5	10935	448
28	13	6	5	10935	448
29	13	6	4	9801	400
30	13	6	5	10935	448
31	13	6	4	9801	400
32	13	6	5	10935	448
33	12	6	5	40095	1120
34	12	6	4	35937	1000
35	12	6	5	40095	1120
36	12	6	4	35937	1000
37	12	6	5	40095	1120
38	12	6	4	35937	1000
39	12	6	5	40095	1120
40	12	7	5	32805	896
41	12	7	4	29403	800
42	12	7	5	32805	896
43	12	7	4	29403	800
44	12	7	5	32805	896
45	12	7	4	29403	800
46	12	7	5	32805	896
47	11	5	6	239355	4704
48	11	7	5	120285	2240
49	11	7	5	120285	2240
50	11	7	4	107811	2000
51	11	7	5	120285	2240
52	11	6	5	164025	3136
53	11	6	5	164025	3136
54	11	8	5	98415	1792
55	11	8	5	98415	1792
56	11	8	4	88209	1600
57	11	8	5	98415	1792
58	11	8	5	98415	1792
59	11	8	5	98415	1792
60	11	8	5	98415	1792
61	11	8	4	88209	1600
62	11	8	5	98415	1792
63	10	6	5	601425	7840
64	10	6	6	718065	9408
65	10	7	5	441045	5600
66	10	7	5	492075	6272
67	10	7	5	492075	6272
68	9	7	5	1804275	15680
69	9	8	5	1323135	11200
