group	kind	family_count	n
all	all	12	2
all	all	14	3
all	all	15	3
all	all	16	6
all	all	17	8
all	all	18	8
all	all	19	12
all	all	20	13
all	all	21	22
all	all	22	34
all	all	23	45
all	all	24	54
all	all	25	65
all	all	26	84
all	all	27	74
all	all	28	81
all	all	29	122
all	all	30	95
all	all	31	122
all	all	32	126
all	all	33	126
all	all	34	134
all	all	35	132
all	all	36	149
all	all	37	159
all	all	38	146
all	all	39	144
all	all	40	157
all	all	41	141
all	all	42	141
all	all	43	148
all	all	44	143
all	all	45	127
all	all	46	139
all	all	47	112
all	all	48	134
all	all	49	121
all	all	50	102
all	all	51	110
all	all	52	93
all	all	53	82
all	all	54	92
all	all	55	85
all	all	56	101
all	all	57	77
all	all	58	78
all	all	59	59
all	all	60	72
all	all	61	57
all	all	62	62
all	all	63	47
all	all	64	44
all	all	65	44
all	all	66	45
all	all	67	23
all	all	68	35
all	all	69	30
all	all	70	32
all	all	71	20
all	all	72	30
all	all	73	22
all	all	74	22
all	all	75	22
all	all	76	18
all	all	77	18
all	all	78	18
all	all	79	10
all	all	80	15
all	all	81	6
all	all	82	10
all	all	83	5
all	all	84	16
all	all	85	7
all	all	86	6
all	all	87	6
all	all	88	2
all	all	89	3
all	all	90	3
all	all	91	1
all	all	92	3
all	all	93	2
all	all	94	2
all	all	95	5
all	all	96	1
all	all	97	3
all	all	98	2
all	all	99	2
all	all	100	3
all	all	101	2
all	all	102	1
all	all	103	2
all	all	106	2
all	all	107	1
all	all	112	4
all	all	122	1
all	all	154	1
all	all	178	1
morphosyntactic	class	2	1
morphosyntactic	class	3	6
morphosyntactic	class	4	53
morphosyntactic	class	5	189
morphosyntactic	class	6	488
morphosyntactic	class	7	690
morphosyntactic	class	8	782
morphosyntactic	class	9	832
morphosyntactic	class	10	653
morphosyntactic	class	11	498
morphosyntactic	class	12	344
morphosyntactic	class	13	197
morphosyntactic	class	14	119
morphosyntactic	class	15	68
morphosyntactic	class	16	42
morphosyntactic	class	17	15
morphosyntactic	class	18	15
morphosyntactic	class	19	6
morphosyntactic	class	20	1
morphosyntactic	class	21	1
phonological	class	2	6
phonological	class	3	70
phonological	class	4	318
phonological	class	5	586
phonological	class	6	822
phonological	class	7	779
phonological	class	8	721
phonological	class	9	496
phonological	class	10	441
phonological	class	11	239
phonological	class	12	217
phonological	class	13	78
phonological	class	14	115
phonological	class	15	28
phonological	class	16	36
phonological	class	17	16
phonological	class	18	17
phonological	class	19	5
phonological	class	20	4
phonological	class	22	4
phonological	class	24	1
phonological	class	27	1
indeterminate	class	2	11
indeterminate	class	3	220
indeterminate	class	4	765
indeterminate	class	5	936
indeterminate	class	6	896
indeterminate	class	7	786
indeterminate	class	8	697
indeterminate	class	9	290
indeterminate	class	10	230
indeterminate	class	11	71
indeterminate	class	12	63
indeterminate	class	13	19
indeterminate	class	14	13
indeterminate	class	15	1
indeterminate	class	16	2
morsyn_indet	bundle	4	2
morsyn_indet	bundle	5	10
morsyn_indet	bundle	6	24
morsyn_indet	bundle	7	63
morsyn_indet	bundle	8	117
morsyn_indet	bundle	9	211
morsyn_indet	bundle	10	319
morsyn_indet	bundle	11	376
morsyn_indet	bundle	12	465
morsyn_indet	bundle	13	492
morsyn_indet	bundle	14	491
morsyn_indet	bundle	15	417
morsyn_indet	bundle	16	396
morsyn_indet	bundle	17	346
morsyn_indet	bundle	18	293
morsyn_indet	bundle	19	258
morsyn_indet	bundle	20	188
morsyn_indet	bundle	21	137
morsyn_indet	bundle	22	105
morsyn_indet	bundle	23	74
morsyn_indet	bundle	24	57
morsyn_indet	bundle	25	38
morsyn_indet	bundle	26	47
morsyn_indet	bundle	27	20
morsyn_indet	bundle	28	19
morsyn_indet	bundle	29	11
morsyn_indet	bundle	30	8
morsyn_indet	bundle	31	8
morsyn_indet	bundle	34	1
morsyn_indet	bundle	35	4
morsyn_indet	bundle	42	1
morsyn_indet	bundle	43	1
morsyn_indet	bundle	49	1
