family_id	span_id
family_001	1-28
family_001	6-24
family_001	7-10
family_001	7-11
family_001	7-12
family_001	7-20
family_001	7-22
family_001	7-24
family_002	1-28
family_002	7-10
family_002	7-11
family_002	7-12
family_002	7-20
family_002	7-22
family_002	7-24
family_002	7-26
family_003	1-28
family_003	6-17
family_003	6-24
family_003	7-10
family_003	7-11
family_003	7-12
family_004	1-28
family_004	6-24
family_004	7-20
family_004	7-22
family_004	7-24
family_004	8-16
family_005	1-28
family_005	7-20
family_005	7-22
family_005	7-24
family_005	7-26
family_005	8-16
family_006	1-28
family_006	6-24
family_006	7-24
family_006	8-16
family_006	8-24
family_007	1-28
family_007	7-24
family_007	7-26
family_007	8-16
family_007	8-24
family_008	1-28
family_008	6-17
family_008	6-24
family_008	8-16
