family_id	span_id
family_001	1-27
family_001	1-28
family_001	6-27
family_001	7-8
family_001	7-10
family_001	7-17
family_001	7-24
family_001	7-25
family_002	1-28
family_002	6-27
family_002	6-28
family_002	7-8
family_002	7-10
family_002	7-17
family_002	7-24
family_002	7-25
family_003	1-24
family_003	1-27
family_003	1-28
family_003	7-8
family_003	7-10
family_003	7-17
family_003	7-24
family_004	1-27
family_004	1-28
family_004	6-27
family_004	7-17
family_004	7-24
family_004	7-25
family_004	8-12
family_005	1-27
family_005	1-28
family_005	6-27
family_005	7-24
family_005	7-25
family_005	8-12
family_005	8-24
family_006	1-28
family_006	6-27
family_006	6-28
family_006	7-17
family_006	7-24
family_006	7-25
family_006	8-12
family_007	1-28
family_007	6-27
family_007	6-28
family_007	7-24
family_007	7-25
family_007	8-12
family_007	8-24
family_008	1-24
family_008	1-27
family_008	1-28
family_008	7-17
family_008	7-24
family_008	8-12
family_009	1-24
family_009	1-27
family_009	1-28
family_009	7-24
family_009	8-12
family_009	8-24
