tree_number	newick
1	((((1,2)1-2,((3,(((4,5,(6,7)6-7)4-7,8)4-8,(((9,((10,11)10-11,12)10-12)9-12,13)9-13,14)9-14)4-14,15)3-15,(16,17)16-17)3-17,18,19)1-19,(20,21)20-21)1-21,22)1-22;
2	(((1,((2,((3,(4,((5,6,7,8)5-8,9)5-9)4-9)3-9,10)3-10,((11,12)11-12,(13,14)13-14)11-14)2-14,15)2-15,16)1-16,(17,(18,19,20,21)18-21)17-21)1-21,22)1-22;
3	((1,((2,3)2-3,4)2-4)1-4,((5,(6,(((7,8)7-8,9)7-9,10)7-10)6-10)5-10,((((11,((12,13)12-13,14,(15,16,(17,18)17-18)15-18)12-18)11-18,19,20)11-20,21)11-21,22)11-22)5-22)1-22;
4	(((((1,2)1-2,3)1-3,(4,((5,6)5-6,7)5-7,8)4-8)1-8,9)1-9,(10,11)10-11,12,(13,(14,(15,16)15-16)14-16,(17,18,(19,20,21)19-21)17-21)13-21,22)1-22;
5	((1,((2,((3,((4,5)4-5,6,7)4-7,((8,9,10)8-10,(11,12,13)11-13,(14,15,16,17)14-17,18,19)8-19)3-19,20)3-20)2-20,21)2-21)1-21,22)1-22;
6	(((1,((2,3,(4,5)4-5,6)2-6,(7,8,9)7-9)2-9,10)1-10,(11,12)11-12,13)1-13,(14,(15,16)15-16)14-16,(((17,18)17-18,((19,20)19-20,21)19-21)17-21,22)17-22)1-22;
7	(1,(((2,3)2-3,(4,5)4-5,((6,7,((8,9)8-9,10)8-10)6-10,(11,12,(13,(14,15)14-15)13-15,((16,(17,18)17-18)16-18,19,(20,21)20-21)16-21)11-21)6-21)2-21,22)2-22)1-22;
8	((1,((((((2,(3,(4,5)4-5)3-5)2-5,(6,7)6-7,8)2-8,9)2-9,10,11,12)2-12,(13,14)13-14,15,16,17)2-17,18,19,(20,21)20-21)2-21)1-21,22)1-22;
9	((1,2)1-2,(((3,(((4,5)4-5,(((6,((7,8)7-8,(9,10)9-10)7-10)6-10,(11,12,13)11-13,14)6-14,15)6-15)4-15,(16,17)16-17,18)4-18,19)3-19,20)3-20,21)3-21,22)1-22;
10	((((((1,2)1-2,3)1-3,4,(5,6,7,((8,(9,10)9-10)8-10,((11,12)11-12,13)11-13,14)8-14,15,16)5-16)1-16,17)1-17,18,(19,20,21)19-21)1-21,22)1-22;
11	((1,2,(((3,(4,5)4-5)3-5,6)3-6,7)3-7,8,(9,10)9-10,(11,12,13,(((14,15)14-15,(((16,17)16-17,18)16-18,(19,20)19-20)16-20)14-20,21)14-21)11-21)1-21,22)1-22;
12	(((1,(2,3)2-3)1-3,4)1-4,5,6,(7,8,((9,((10,(11,((12,13)12-13,14)12-14,(((15,16)15-16,17)15-17,18)15-18,19)11-19)10-19,20)10-20,21)9-21,22)9-22)7-22)1-22;
13	(1,2,((3,(4,(((5,6)5-6,((7,8)7-8,(9,10)9-10)7-10,11)5-11,(12,13)12-13)5-13,(14,15)14-15)4-15)3-15,((16,(17,(18,(19,20,21)19-21)18-21)17-21)16-21,22)16-22)3-22)1-22;
14	(((((1,2,(((3,4)3-4,5)3-5,6)3-6)1-6,(((7,8)7-8,9)7-9,((10,11,12)10-12,13,14)10-14)7-14,15)1-15,(16,17,(18,19)18-19,20)16-20)1-20,21)1-21,22)1-22;
15	(1,(2,(3,4)3-4,5,6,(7,((8,9,((10,(11,(12,13)12-13,14)11-14)10-14,15)10-15,16,(17,18)17-18)8-18,19)8-19)7-19,((20,21)20-21,22)20-22)2-22)1-22;
16	((1,(2,3,4,5,6,(((7,8,9)7-9,10)7-10,(11,(12,(13,(14,15,16)14-16)13-16,17)12-17)11-17,18)7-18,19)2-19,20)1-20,(21,22)21-22)1-22;
17	((1,(2,3)2-3)1-3,((4,(((5,6)5-6,((7,8,(9,10)9-10)7-10,11,(12,13)12-13)7-13)5-13,(14,(15,(16,(17,18,19)17-19)16-19)15-19)14-19)5-19,20)4-20,21)4-21,22)1-22;
18	(1,((((2,3)2-3,4,5,6)2-6,7)2-7,(8,9)8-9)2-9,((10,11)10-11,(12,(13,(14,15)14-15)13-15)12-15)10-15,((16,(17,18)17-18)16-18,19,20)16-20,21,22)1-22;
19	((1,2)1-2,((3,((4,(5,6)5-6)4-6,7)4-7,8,(9,(10,11)10-11)9-11)3-11,(12,13,(14,15)14-15)12-15)3-15,((16,(17,18,19,20)17-20)16-20,21,22)16-22)1-22;
