group_id	defining_span_id	family_id	draw_rank
A	5-13	family_047	1
A	5-13	family_052	2
A	5-13	family_053	3
A	5-13	family_063	4
A	5-13	family_064	5
A	5-13	family_065	6
A	5-13	family_066	7
A	5-13	family_067	8
A	5-13	family_068	9
A	5-13	family_069	10
B	6-17	family_010	1
B	6-17	family_011	5
B	6-17	family_012	6
B	6-17	family_013	7
B	6-17	family_014	8
B	6-17	family_015	9
B	6-17	family_016	10
B	6-17	family_017	3
B	6-17	family_018	11
B	6-17	family_019	4
B	6-17	family_020	12
B	6-17	family_021	
B	6-17	family_022	
B	6-17	family_023	
B	6-17	family_024	
B	6-17	family_025	
B	6-17	family_026	2
B	6-17	family_027	
B	6-17	family_028	
B	6-17	family_029	
B	6-17	family_030	
B	6-17	family_031	
B	6-17	family_032	
C		family_001	1
C		family_002	5
C		family_003	6
C		family_004	7
C		family_005	8
C		family_006	9
C		family_007	10
C		family_008	11
C		family_009	12
C		family_033	
C		family_034	
C		family_035	
C		family_036	
C		family_037	
C		family_038	4
C		family_039	
C		family_040	
C		family_041	2
C		family_042	
C		family_043	
C		family_044	
C		family_045	
C		family_046	
C		family_048	
C		family_049	
C		family_050	
C		family_051	
C		family_054	3
C		family_055	
C		family_056	
C		family_057	
C		family_058	
C		family_059	
C		family_060	
C		family_061	
C		family_062	
