tree_number	newick	group_spans	strengths
1	(1,2,3,4,((((5,((((6,7,8)6-8,(9,10)9-10)6-10,11,12,(13,14,15)13-15,16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;6-16;6-10;6-8;9-10;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.2361;2.0;2.8284;3.4641;3.7417
2	(1,2,3,4,((((5,(((6,7,8)6-8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;6-16;6-8;9-16;9-10;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.2361;2.8284;2.4495;3.4641;3.7417
3	(1,2,3,4,((((5,((6,7,8)6-8,(((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;6-8;9-17;9-16;9-10;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.8284;2.4495;2.4495;3.4641;3.7417
4	(1,2,3,4,((((5,(((6,7,(8,(9,10)9-10)8-10)6-10,11,12,(13,14,15)13-15,16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;6-16;6-10;8-10;9-10;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.2361;2.0;2.0;3.4641;3.7417
5	(1,2,3,4,((((5,((6,7,((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;6-16;8-16;8-10;9-10;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.2361;2.0;2.0;3.4641;3.7417
6	(1,2,3,4,((((5,((6,7,(8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;6-16;8-16;9-16;9-10;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.2361;2.0;2.4495;3.4641;3.7417
7	(1,2,3,4,((((5,(6,7,(((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;8-17;8-16;8-10;9-10;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.0;2.0;2.0;3.4641;3.7417
8	(1,2,3,4,((((5,(6,7,((8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;8-17;8-16;9-16;9-10;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.0;2.0;2.4495;3.4641;3.7417
9	(1,2,3,4,((((5,(6,7,(8,(((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;8-17;9-17;9-16;9-10;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.0;2.4495;2.4495;3.4641;3.7417
10	(1,2,3,4,((((5,((6,7,8)6-8,(9,(10,11,12,(13,14,15)13-15,16,17)10-17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;6-8;9-17;10-17;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.8284;2.4495;2.0;3.7417
11	(1,2,3,4,((((5,(6,7,(8,(9,(10,11,12,(13,14,15)13-15,16,17)10-17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;6-17;8-17;9-17;10-17;13-15	4.0;4.0;4.0;4.0;3.6056;3.3166;2.0;2.4495;2.0;3.7417
12	(1,2,3,4,(((5,(6,7,8)6-8,((((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17,18)9-18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;6-8;9-18;9-17;9-16;9-10;13-15	4.0;4.0;4.0;4.0;2.8284;1.7321;2.4495;2.4495;3.4641;3.7417
13	(1,2,3,4,(((((5,((6,7,8)6-8,(9,10)9-10)6-10,11,12,13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;5-13;6-10;6-8;9-10	4.0;4.0;4.0;4.0;3.6056;1.4142;2.0;2.8284;3.4641
14	(1,2,3,4,(((((5,(6,7,(8,(9,10)9-10)8-10)6-10,11,12,13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;5-13;6-10;8-10;9-10	4.0;4.0;4.0;4.0;3.6056;1.4142;2.0;2.0;3.4641
15	(1,2,3,4,(((5,(6,7,8)6-8,((9,(10,11,12,(13,14,15)13-15,16,17)10-17)9-17,18)9-18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;6-8;9-18;9-17;10-17;13-15	4.0;4.0;4.0;4.0;2.8284;1.7321;2.4495;2.0;3.7417
16	(1,2,3,4,(((5,(6,7,8)6-8,(9,((10,11,12,(13,14,15)13-15,16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;6-8;9-18;10-18;10-17;13-15	4.0;4.0;4.0;4.0;2.8284;1.7321;1.0;2.0;3.7417
