family_id	span_id
family_001	1-22
family_001	5-17
family_001	6-8
family_001	6-10
family_001	6-16
family_001	6-17
family_001	9-10
family_002	1-22
family_002	5-17
family_002	6-8
family_002	6-16
family_002	6-17
family_002	9-10
family_002	9-16
family_003	1-22
family_003	5-17
family_003	6-8
family_003	6-17
family_003	9-10
family_003	9-16
family_003	9-17
family_004	1-22
family_004	5-17
family_004	6-10
family_004	6-16
family_004	6-17
family_004	8-10
family_004	9-10
family_005	1-22
family_005	5-17
family_005	6-16
family_005	6-17
family_005	8-10
family_005	8-16
family_005	9-10
family_006	1-22
family_006	5-17
family_006	6-16
family_006	6-17
family_006	8-16
family_006	9-10
family_006	9-16
family_007	1-22
family_007	5-17
family_007	6-17
family_007	8-10
family_007	8-16
family_007	8-17
family_007	9-10
family_008	1-22
family_008	5-17
family_008	6-17
family_008	8-16
family_008	8-17
family_008	9-10
family_008	9-16
family_009	1-22
family_009	5-17
family_009	6-17
family_009	8-17
family_009	9-10
family_009	9-16
family_009	9-17
